firm,pre-IDA,3-sess,ISP15-win,DA60/ID15,DA15/ID15
GE,2706.11015358362,2850.678899082569,,2287.4788461538465,
IB,6725.758532423214,4570.210091743118,,2328.894780219779,
GN,12607.30520477815,5191.251376146788,,5577.920741758246,
HC,2145.7774744027292,1484.7504587155959,,1522.3256868131875,
