outcome,beta,se,t,n
scar_share,-0.012416879049201942,0.00036256522134784367,-34.2472976394204,414570
m_scar,-5.151101866028393,0.1533937971593618,-33.58090067147161,414570
p_scar,-0.01877239622281928,0.004231952680449623,-4.4358710128169045,361874
