firm,n_cells,scar_share,D_share,D_qty_comp,D_price_comp,D_price_scar
IB,18802,0.24804037019729788,0.0022640931221076127,0.03760677583830199,0.04860857017832168,0.08780028050846586
GE,12722,0.17571468362228088,0.0013142753215580377,0.003580962703007319,0.042093846901643577,0.0
GN,35689,0.7519898111665206,0.02397631200259532,0.35915638181949877,3.703508093661549,8.065592366520873e-15
HC,15905,0.2068402429682118,0.0011058077190586725,0.005970009033622323,0.008287260539654385,0.09547904955432973
OTH,29399,0.42422615624131765,0.005368673410818842,0.04975976415186174,0.21359209217311148,0.11230016516326807
ALL,112517,0.4399200160683462,0.009690995938032868,0.08483399622068756,0.6861045919290392,0.05418138128616939
