unit_code,firm,zone,constrained,p_scar,n_cells
ACE4,GN,Centro,False,1000.0,9600
ALG3,OTHER,Sur,True,173.15085476773967,1692
AMBIETA,OTHER,Norte,False,223.88654045824302,2348
ARCOS1,IB,Sur,True,377.94560949868077,7580
ARCOS2,IB,Sur,True,379.0678591160221,2896
ARCOS3,IB,Sur,True,343.0091029623319,9600
ARRU1R,Moeve,Norte,False,513.9632285074921,9600
ARRU2R,Moeve,Norte,False,435.3041236002621,9600
BAHIAB,OTHER,Norte,False,371.2929,9600
BES3,GE,Cataluna,True,2994.249829966069,7302
BES4,GN,Cataluna,True,1000.0,9092
BES5,GE,Cataluna,True,2987.5050597976083,2174
CAMG20R,OTHER,Sur,True,297.20254514398135,8667
CAMGI10,GN,Sur,True,1000.0,9312
COL4,GE,Sur,True,2953.425531914894,658
CTGN1,GN,Levante,True,1000.0,9600
CTGN2,GN,Levante,True,1000.0,2016
CTGN3,GN,Levante,True,1000.0,9476
CTJON1R,TotalEnergies,Norte,False,499.93230992542834,8356
CTJON2,IB,Norte,False,357.7086872435235,8552
CTJON3R,TotalEnergies,Norte,False,500.0,9600
CTN3,IB,Levante,True,343.31445619483236,8928
CTN4,IB,Levante,True,346.57508754500657,9568
CTNU,Engie,Aragon,False,476.7038972679466,9600
ECT2,OTHER,Aragon,False,634.3228436018957,844
ECT3,OTHER,Aragon,False,191.39684447327846,2224
ESC6,IB,Levante,True,349.9460011904312,8736
ESCCC1,Engie,Levante,True,463.65673854381293,9600
MALA1,GN,Sur,True,1000.0,576
PALOS1,GN,Sur,True,1000.0,9600
PALOS2,GN,Sur,True,1000.0,9600
PALOS3,GN,Sur,True,1000.0,8832
PBCN1,GN,Cataluna,True,1000.0,9600
PBCN2,GN,Cataluna,True,1000.0,9600
PGR5,GE,Galicia,False,2991.719135522882,5388
PVENT2,OTHER,Cataluna,True,205.1597444089457,2504
SAGU1,GN,Levante,True,1000.0,9600
SAGU2,GN,Levante,True,1000.0,9312
SAGU3,GN,Levante,True,1000.0,8736
SBO3,GN,Galicia,False,1000.0,9216
SRI4R,HC,Norte,False,691.6634405241824,9504
SRI5R,HC,Norte,False,698.1338410118066,9600
SROQ1,GN,Sur,True,1000.0,8988
SROQ2,GE,Sur,True,2991.8789181039465,4902
STC4,IB,Norte,False,374.2021621621622,3552
TAPOWER,IB,Cataluna,True,334.47184912276776,7607
