zone,n_units,n_cells,p_scar,scar_share,constrained
Galicia,2,14604,1734.8248905914331,0.7026767124102097,False
Cataluna,7,47879,1247.0790036276683,0.5973680938959393,True
Centro,1,9600,1000.0,0.7979699995605941,False
Sur,13,82903,888.2895165435972,0.5506609786332274,True
Levante,10,85572,731.8909790463971,0.5524104418929525,True
Norte,10,80312,496.1206716895241,0.503285991349625,False
Aragon,3,12668,437.1165516167398,0.44958465390352165,False
