firm,tech,regime,p10,p25,p50,p75,p90
IB,Hydro_pump,MTU15IDA_pre,-2.00956,-1.39975,-0.42300000000000004,0.23172500000000001,0.6306
REP,CCGT,3sess,0.0,0.0,0.02,0.20925,0.32
REP,CCGT,DA15_ID15,-0.03480749999999994,0.155,0.32,0.4473125,0.59407
REP,CCGT,ISP15win,-0.03035999999999997,0.0,0.0,0.145,0.3
REP,CCGT,MTU15IDA_post,0.145,0.29,0.30000000000000004,0.45799999999999996,0.6628950000000005
REP,CCGT,MTU15IDA_pre,0.0,0.0,0.145,0.147,0.2275
REP,Hydro,3sess,-0.1252,-0.08999999999999998,-0.04685,-0.00030000000000000073,0.005799999999999997
REP,Hydro,DA15_ID15,-0.144705,-0.11830625,-0.067625,0.001,0.1255325
REP,Hydro,ISP15win,-0.1361,-0.09609999999999999,-0.05005,-7.499999999999574e-05,0.006
REP,Hydro,MTU15IDA_post,-0.13754999999999998,-0.098825,-0.03820000000000002,0.027375000000000003,0.054700000000000006
REP,Hydro,MTU15IDA_pre,-0.15564,-0.12269999999999999,-0.07475,-0.0004124999999999979,0.06092000000000002
REP,Hydro_pump,3sess,-0.18,-0.127,-0.0842,0.0,0.0
REP,Hydro_pump,DA15_ID15,-0.2973575,-0.2407875,-0.178,-0.0788625,0.049
REP,Hydro_pump,ISP15win,-0.259,-0.179025,-0.1,-0.009875,0.027800000000000182
REP,Hydro_pump,MTU15IDA_post,-0.22,-0.15395625,-0.08,0.0,0.06
REP,Hydro_pump,MTU15IDA_pre,-0.33347,-0.218,-0.11,0.0,0.063
