"zone","within_hour_sd_mw","within_hour_cv_pct","n_units","bsts_eff_gwh_per_day","bsts_lo","bsts_hi","bsts_p","n_pre","n_post"
"Aragon",18.75,20.84,2,3.37189676645244,2.85172669328933,3.89572019540309,0.000506329113924051,239,267
"Norte",4.52,2.67,9,3.92864025978,2.06362906413277,6.64229131148337,0.00100857286938981,317,267
"Sur",4.09,2.48,9,15.2904668050669,13.1408297013547,16.6879026367064,0.000528541226215645,317,267
"Levante",4.09,2.11,9,5.47169344691422,-6.81517326500984,17.9891888802044,0.176091624910523,317,267
"Centro",3.65,2.01,2,0.752005400019944,-2.90112951684209,4.62350279542931,0.339855072463768,314,267
"Cataluna",1.7,1.64,5,4.96871760291467,2.8783833152224,6.72678829221566,0.00177409816676523,317,267
"Galicia",1.51,0.91,2,1.34765690732868,0.519159965873275,2.0423138803481,0.0015205271160669,315,267
