day,unit_code,firm,qw_bid_eur_mwh,total_bid_mwh,pdbf_mwh,phf_mwh,rt2_mwh,regime
2024-01-01,ACE3,IB,182.02227995769678,9266.399999999996,0.0,0.0,0.0,pre
2024-01-01,ACE4,GN,747.9643059583418,9103.200000000026,0.0,3057.0,3057.0,pre
2024-01-01,ARCOS1,IB,68.18635669447254,9494.400000000001,0.0,6240.0,6240.0,pre
2024-01-01,ARCOS2,IB,166.89521481286258,9105.599999999999,0.0,0.0,0.0,pre
2024-01-01,ARCOS3,IB,222.2397695649531,19749.6,0.0,0.0,0.0,pre
2024-01-01,BES3,GE,293.9888334547221,9885.599999999995,0.0,0.0,0.0,pre
2024-01-01,BES5,GE,2283.3856873302298,20616.0,0.0,6155.0,6155.0,pre
2024-01-01,CAMGI10,GN,778.362136597063,9424.8,0.0,0.0,0.0,pre
2024-01-01,COL4,GE,1130.6151020408163,9408.0,0.0,0.0,0.0,pre
2024-01-01,CTGN1,GN,833.8025049077356,10187.999999999985,0.0,3276.3999999999996,3276.3999999999996,pre
2024-01-01,CTGN2,GN,828.6745597817564,10190.399999999989,0.0,4331.0,4331.0,pre
2024-01-01,CTJON2,IB,58.63290621975896,9093.599999999997,0.0,2669.4,2669.4,pre
2024-01-01,CTN3,IB,224.40473593350396,18767.999999999993,0.0,0.0,0.0,pre
2024-01-01,CTN4,IB,125.81657427816832,20143.2,0.0,6648.3,6648.3,pre
2024-01-01,MALA1,GN,818.3312741488496,10104.000000000027,0.0,1875.0,1875.0,pre
2024-01-01,PALOS1,GN,789.5987437621595,9458.399999999987,0.0,0.0,0.0,pre
2024-01-01,PALOS2,GN,794.8495465748243,9494.399999999989,0.0,3785.0999999999995,3785.0999999999995,pre
2024-01-01,PALOS3,GN,707.3448164906996,9547.199999999975,0.0,0.0,0.0,pre
2024-01-01,PBCN1,GN,826.5682041964847,10732.799999999968,0.0,3221.0,3221.0,pre
2024-01-01,PBCN2,GN,834.1305718035234,10668.000000000015,0.0,1802.0,1802.0,pre
2024-01-01,PEGO3,GE,1144.267232242395,10046.400000000005,0.0,0.0,0.0,pre
2024-01-01,PEGO4,GE,1101.8824412724948,10046.400000000005,0.0,0.0,0.0,pre
2024-01-01,PGR5,GE,2483.738258062633,10269.599999999995,0.0,6152.0,6152.0,pre
2024-01-01,SAGU1,GN,774.0252715871875,10015.199999999999,0.0,0.0,0.0,pre
2024-01-01,SAGU2,GN,807.8416229742586,10070.40000000003,0.0,1693.0,1693.0,pre
2024-01-01,SAGU3,GN,812.5639138397811,10046.40000000003,0.0,0.0,0.0,pre
2024-01-01,SBO3,GN,806.8739863277968,9537.60000000001,0.0,1384.6,1384.6,pre
2024-01-01,SRI4R,HC,143.7916710484804,9509.0,0.0,2030.0,2030.0,pre
2024-01-01,SROQ1,GN,833.7652380952384,9357.600000000008,0.0,0.0,0.0,pre
2024-01-01,STC4,IB,177.6045942650521,9513.599999999999,0.0,0.0,0.0,pre
2024-01-01,TAPOWER,IB,233.97199990007974,10008.0,0.0,0.0,0.0,pre
2024-01-02,ACE3,IB,180.38413450746793,9266.4,0.0,0.0,0.0,pre
2024-01-02,ACE4,GN,747.991599437558,9103.200000000026,0.0,2051.0,2051.0,pre
2024-01-02,ARCOS1,IB,113.9695883889451,9494.4,0.0,6240.0,6240.0,pre
2024-01-02,ARCOS2,IB,165.8975125197677,9105.600000000002,0.0,0.0,0.0,pre
2024-01-02,ARCOS3,IB,220.18486369344203,19749.599999999988,0.0,0.0,0.0,pre
2024-01-02,BES3,GE,301.9662086266895,9885.599999999995,0.0,0.0,0.0,pre
2024-01-02,BES5,GE,2294.434586486224,20616.0,0.0,4978.5,4978.5,pre
2024-01-02,CAMGI10,GN,778.3827932688231,9424.8,0.0,0.0,0.0,pre
2024-01-02,COL4,GE,1135.2160225340137,9408.0,0.0,0.0,0.0,pre
2024-01-02,CTGN1,GN,828.586674911662,10187.999999999984,0.0,4170.2,4170.2,pre
2024-01-02,CTGN2,GN,0.0,0.0,0.0,5.0,5.0,pre
2024-01-02,CTJON2,IB,158.26729952933917,9093.599999999995,0.0,0.0,0.0,pre
2024-01-02,CTN3,IB,221.41418041346984,18767.999999999993,0.0,0.0,0.0,pre
2024-01-02,CTN4,IB,142.8655985146352,20143.2,0.0,2470.0,2470.0,pre
2024-01-02,MALA1,GN,818.3482547505917,10104.000000000027,0.0,1330.0,1330.0,pre
2024-01-02,PALOS1,GN,803.4702893724109,9458.399999999989,0.0,0.0,0.0,pre
2024-01-02,PALOS2,GN,810.6581651289198,9494.399999999989,0.0,2347.2,2347.2,pre
