tech,week_start,DA cleared_pos,DA cleared_neg,Bilaterals_pos,Bilaterals_neg,IDA1_pos,IDA1_neg,IDA2_pos,IDA2_neg,IDA3_pos,IDA3_neg,IDA other_pos,IDA other_neg,Continuous_pos,Continuous_neg,REE residual_pos,REE residual_neg,phf_pos,phf_neg,phf_net
CCGT,2024-01-01,12.514100000000001,0.0,0.0,0.0,17.227800000000002,-0.1918,25.5764,-2.5819,26.585,-2.9450000000000003,8.0885,-1.7570000000000001,5.222799999999999,-1.695,134.1598,0.0,229.3744,0.0,229.3744
CCGT,2024-01-08,322.1567,0.0,126.19950000000004,0.0,16.6623,-6.218800000000001,23.3368,-7.5302999999999995,59.69360000000003,-8.2272,28.193499999999997,-2.0298000000000003,20.8554,-3.8976,45.607399999999934,0.0,638.9849,0.0,638.9849
CCGT,2024-01-15,13.9548,0.0,22.4568,0.0,10.5317,0.0,32.4781,-1.1861000000000002,23.181900000000002,-1.9978,13.815100000000001,-0.7807,4.899,-1.3459999999999999,105.0095,0.0,226.3269,0.0,226.3269
CCGT,2024-01-22,53.842499999999994,0.0,39.84859999999998,0.0,14.678500000000001,-0.0626,24.0937,-7.4124,47.68609999999999,-4.6476999999999995,17.316699999999997,-1.8323,4.0184,-2.3007,94.63750000000006,0.0,296.122,0.0,296.122
CCGT,2024-01-29,39.8527,0.0,23.448399999999996,0.0,11.452,-0.37170000000000003,27.8731,-2.6719,58.57380000000001,-1.8095999999999999,22.9011,-0.6766,8.029,-1.1459,106.14349999999999,0.0,298.2736,0.0,298.2736
CCGT,2024-02-05,39.60440000000001,0.0,15.792899999999994,0.0,11.9305,-0.0043,18.0333,-0.6584,23.453900000000004,-0.42969999999999997,15.0482,-1.8523,7.414099999999998,-1.2320000000000002,92.36219999999997,0.0,223.6395,0.0,223.6395
CCGT,2024-02-12,3.3554000000000004,0.0,0.0,0.0,9.549299999999999,0.0,25.9709,-0.0606,29.461599999999997,-0.09000000000000001,15.698,-1.4246999999999999,4.4117,-0.7117,125.19509999999998,0.0,213.642,0.0,213.642
CCGT,2024-02-19,2.552,0.0,0.0,0.0,18.48,0.0,15.416999999999998,-0.7086,12.2251,-0.8662000000000001,7.4353,-0.03,5.9834,-0.2603,130.7734,0.0,192.86620000000002,0.0,192.86620000000002
CCGT,2024-02-26,0.0,0.0,0.0,0.0,2.3165,0.0,7.868499999999999,-0.0071,3.5577,-2.4381999999999997,3.3112,-0.42679999999999996,4.6394,-0.6593,131.0907,0.0,152.78400000000002,0.0,152.78400000000002
CCGT,2024-03-04,19.755200000000002,0.0,0.0,0.0,2.8427000000000002,0.0,10.3933,-1.2429,12.8644,-0.428,6.9556,-0.8300000000000001,3.497,-1.9268999999999998,100.83810000000001,0.0,157.1463,0.0,157.1463
CCGT,2024-03-11,35.5858,0.0,0.0,0.0,12.126900000000001,-0.382,22.237499999999997,-2.8916,34.1032,-0.187,16.4707,-0.181,8.0276,-1.8496000000000001,174.37560000000002,0.0,302.9273,0.0,302.9273
CCGT,2024-03-18,33.6629,0.0,0.0,0.0,10.761800000000001,-0.0368,20.238599999999998,-3.8895999999999997,25.965500000000002,-0.21,8.279000000000002,-2.0019,5.2433000000000005,-0.7693,124.04010000000002,0.0,228.1912,0.0,228.1912
CCGT,2024-03-25,0.0,0.0,0.0,0.0,1.9335999999999998,0.0,9.3699,-0.008,4.2579,-0.0316,4.4254,-3.7523999999999993,3.1172999999999997,-0.6557999999999999,139.7828,0.0,162.8869,0.0,162.8869
CCGT,2024-04-01,0.6000000000000001,0.0,0.0,0.0,0.9042999999999999,0.0,8.6279,-0.006,5.0182,0.0,5.3502,-0.0021999999999999997,3.2304999999999997,-0.0579,134.9949,0.0,158.726,0.0,158.726
CCGT,2024-04-08,0.355,0.0,0.0,0.0,2.6938999999999997,0.0,5.7003,-0.002,9.0989,-0.045,4.3148,-2.376,5.2473,-1.2507,141.9347,0.0,169.3449,0.0,169.3449
