regime,clean (TWh),sanctioned (TWh),sanctioned share %
3-sess,10.39,1.39,11.8
DA15/ID15,9.32,0.8,7.9
DA60 POST-blackout,11.57,0.92,7.4
DA60 PRE-blackout,1.42,0.19,11.8
ISP15-win,7.83,0.92,10.5
pre-IDA,203.69,20.22,9.0
