zone,firm,omie_code,situation,n_hours,mean_da_bid,mean_max_da_bid,mean_pdbc_mw,mean_a73_mw,mean_redisp_mw,mean_rt_price_up,mean_bid_to_rt_wedge
Valencia,GN,SAGU2,Sit1_competitive,2107,744.46,1000.0,59.44,259.35,199.91,82.14,-662.2
Valencia,GN,SAGU2,Sit2_sole_pivot,176,951.04,1000.0,1.02,174.51,173.48,45.37,-905.39
Valencia,GN,SAGU2,Sit3_joint_pivot,1951,865.37,1000.0,12.24,200.21,187.97,58.44,-806.79
Valencia,GN,SAGU3,Sit1_competitive,1498,733.4,1000.0,66.04,254.48,188.44,81.5,-651.92
Valencia,GN,SAGU3,Sit2_sole_pivot,121,986.13,1000.0,0.0,193.69,193.69,52.58,-933.55
Valencia,GN,SAGU3,Sit3_joint_pivot,1044,875.51,1000.0,17.43,208.88,191.45,56.47,-819.04
Valencia,IB,CTJON2,Sit1_competitive,744,180.57,354.82,38.88,190.13,151.25,83.05,-97.51
Valencia,IB,CTJON2,Sit3_joint_pivot,143,153.31,360.41,11.22,174.82,163.59,37.72,-115.59
Valencia,IB,CTN3,Off,55,225.52,387.71,3.0,0.03,-2.97,68.94,-156.58
Valencia,IB,CTN3,Sit1_competitive,1412,219.34,383.36,31.9,113.72,81.82,81.16,-138.2
Valencia,IB,CTN3,Sit3_joint_pivot,631,232.44,383.55,15.65,97.35,81.7,56.62,-176.29
Valencia,IB,CTN4,Sit1_competitive,896,239.46,379.49,36.27,109.79,73.51,80.89,-158.44
Valencia,IB,CTN4,Sit3_joint_pivot,134,224.85,379.72,0.0,77.16,77.16,56.96,-167.89
Vasconia,IB,STC4,Sit1_competitive,930,185.53,381.85,15.44,192.79,177.36,71.94,-113.47
Vasconia,IB,STC4,Sit2_sole_pivot,78,160.08,375.89,2.31,203.6,201.29,38.54,-121.54
