month,rt2_abs_mw,reforzada_needs_mw
2024-01-01,870.4511961722483,2732.8064066852376
2024-02-01,813.7829896907208,2795.3440433213
2024-03-01,229.01696014828522,865.4477567298097
2024-04-01,241.35563880126304,951.4960563380283
2024-05-01,157.40580357142798,727.4657068062829
2024-06-01,164.01495882891135,708.3752900232024
2024-07-01,204.67258579409372,735.747174887893
2024-08-01,237.67344006568143,714.9409606986899
2024-09-01,226.9514196983138,814.9587257617727
2024-10-01,279.5348772763264,893.9173734610116
2024-11-01,248.7332038834936,784.8870119521913
2024-12-01,233.86871644704723,844.7286324786332
2025-01-01,215.23154965753344,829.477814569536
2025-02-01,398.21225466730743,1120.0087829360104
2025-03-01,285.44545096494807,1014.9396017699115
2025-04-01,213.63162308830792,846.7144859813087
2025-05-01,141.46195848375433,433.6627777777773
2025-06-01,274.5910572186438,773.6109677419347
2025-07-01,326.09346029464575,630.5465116279081
2025-08-01,222.12186121139186,624.6555704697988
2025-09-01,250.24971578487063,724.8977114427856
2025-10-01,228.46746806912202,723.774205378973
2025-11-01,98.42699687639376,182.90927835051542
2025-12-01,115.11103082851453,159.09393939393942
2026-01-01,136.9528110599068,132.64313725490197
2026-02-01,79.56753400354846,117.59687499999995
2026-03-01,112.0189915174361,116.59780219780217
2026-04-01,119.31602163961635,115.14705882352939
2026-05-01,146.5695412844036,65.4125
