firm,tech,hour_class,regime,gwh,gwh_sa
GE,Nuclear,Midday,MTU15IDA_post,0.035104166666666665,
GE,Nuclear,Midday,preIDA,0.20733333333333331,
GE,Other,Critical,3sess,0.13151304347826087,
GE,Other,Critical,DA15_ID15,0.07690555555555555,
GE,Other,Critical,ISP15win,0.23135263157894737,
GE,Other,Critical,MTU15IDA_pre,0.0124625,
GE,Other,Critical,preIDA,0.055110273972602736,
GE,Other,Flat,3sess,0.025683333333333336,
GE,Other,Flat,DA15_ID15,0.012512500000000001,
GE,Other,Flat,ISP15win,0.12276000000000002,
GE,Other,Flat,preIDA,0.03516935483870968,
GE,Other,Midday,3sess,0.05415249999999999,
GE,Other,Midday,DA15_ID15,0.027766203703703703,
GE,Other,Midday,ISP15win,0.0554047619047619,
GE,Other,Midday,MTU15IDA_post,0.038031999999999996,
GE,Other,Midday,MTU15IDA_pre,0.021271875,
GE,Other,Midday,preIDA,0.08384459459459459,
GN,CCGT,Critical,3sess,0.5980690476190477,0.5610922184088958
GN,CCGT,Critical,DA15_ID15,1.0100608050847457,0.9201241562895895
GN,CCGT,Critical,ISP15win,0.555725,0.6708398116720022
GN,CCGT,Critical,MTU15IDA_post,0.5437069805194804,0.5516133461781854
GN,CCGT,Critical,MTU15IDA_pre,0.46746687500000006,0.6081351351033503
GN,CCGT,Critical,preIDA,0.4544779190751445,
GN,CCGT,Flat,3sess,0.08546707317073171,0.07513312817540825
GN,CCGT,Flat,DA15_ID15,0.10816055555555554,0.051373990217007025
GN,CCGT,Flat,ISP15win,0.110425,0.14012474169164288
GN,CCGT,Flat,MTU15IDA_post,0.08642730263157895,0.04580544881782465
GN,CCGT,Flat,MTU15IDA_pre,0.05424333333333333,0.026877163844312275
GN,CCGT,Flat,preIDA,0.1546598607888631,
GN,CCGT,Midday,3sess,0.17783734939759036,0.15733892965721988
GN,CCGT,Midday,DA15_ID15,0.1700646874999999,0.10017314760296989
GN,CCGT,Midday,ISP15win,0.16714411764705883,0.1670566503676645
GN,CCGT,Midday,MTU15IDA_post,0.11293750000000002,0.07487812076048132
GN,CCGT,Midday,MTU15IDA_pre,0.012861363636363636,0.026835213876457303
GN,CCGT,Midday,preIDA,0.14387472324723247,
GN,Hydro,Critical,3sess,0.11073146853146854,0.13303486232365044
GN,Hydro,Critical,DA15_ID15,0.09528444444444446,0.07334901795346942
GN,Hydro,Critical,ISP15win,0.13812291666666668,0.08596661648913789
GN,Hydro,Critical,MTU15IDA_post,0.0665150826446281,0.11295553669681006
GN,Hydro,Critical,MTU15IDA_pre,0.07504999999999999,0.055511025603767555
GN,Hydro,Critical,preIDA,0.0506054435483871,
GN,Hydro,Flat,3sess,0.05596,0.040497725987370406
GN,Hydro,Flat,DA15_ID15,0.04124411764705883,0.05066211060467839
GN,Hydro,Flat,ISP15win,0.026151612903225804,0.028540115953861578
