tech,firm,n_crit,n_flat,flat_p95,frac_crit_gt0,frac_crit_above_floor,frac_flat_gt0
CCGT,IB,3150,843,50.86694219867997,20.253968253968253,15.904761904761905,6.168446026097272
CCGT,GE,5078,1412,1007.6614599419337,43.816463174478145,15.124064592359195,33.21529745042493
CCGT,GN,10533,2783,997.9664034315713,53.830817430931354,24.333048514193486,37.87279913762127
CCGT,HC,1358,590,1421.9128309997732,34.241531664212076,11.045655375552283,21.1864406779661
Hydro,IB,4474,1350,228.95524250185835,20.809119356280732,14.081358962896736,7.2592592592592595
Hydro,GE,3236,682,2.9649999999999515,25.46353522867738,20.024721878862795,6.3049853372434015
Hydro,GN,4813,1308,0.0,12.777893205900687,12.777893205900687,1.834862385321101
Hydro,HC,954,215,540.0824455569066,24.31865828092243,7.966457023060797,13.023255813953488
Hydro_pump,IB,609,249,638.6837142456222,29.22824302134647,10.180623973727423,8.835341365461847
Hydro_pump,GE,712,317,644.8584513853328,49.43820224719101,16.292134831460675,40.37854889589905
Hydro_pump,GN,1528,424,126.78376696201225,10.798429319371728,9.75130890052356,5.4245283018867925
Nuclear,IB,762,19,,18.635170603674542,,36.84210526315789
Nuclear,GE,500,146,30.956951251238028,21.4,14.000000000000002,17.80821917808219
