tech,firm,n_crit,n_flat,flat_p95,frac_crit_gt0,frac_crit_above_floor,frac_flat_gt0
CCGT,IB,7831,2139,0.0,2.0048525092580767,2.0048525092580767,1.916783543712015
CCGT,GE,5195,1413,0.0,1.8286814244465832,1.8286814244465832,0.0
CCGT,GN,14930,4065,0.0,23.529805760214334,23.529805760214334,0.02460024600246002
CCGT,HC,2013,549,0.0,0.04967709885742673,0.04967709885742673,0.0
Hydro,IB,6072,1656,0.0,1.1693017127799736,1.1693017127799736,0.18115942028985507
Hydro,GE,5552,1488,59.950104450084595,52.179394812680115,8.105187319884728,42.74193548387097
Hydro,GN,2993,810,0.0,0.03341129301703976,0.03341129301703976,0.12345679012345678
Hydro,HC,847,231,0.0,0.0,0.0,0.0
Hydro_pump,IB,1001,273,0.0,0.2997002997002997,0.2997002997002997,0.0
Hydro_pump,GE,2670,372,0.0,0.03745318352059925,0.03745318352059925,0.0
Hydro_pump,GN,1006,276,0.0,0.0,0.0,0.0
Nuclear,IB,2907,800,342.0,31.88854489164087,6.363949088407293,31.624999999999996
Nuclear,GE,2473,672,0.0,3.962798220784472,3.962798220784472,1.9345238095238095
Wind,IB,4539,1283,5.689999999999983,90.63670411985018,4.185944040537564,91.34840218238503
Wind,GN,4152,1159,1.699999999999996,43.73795761078998,8.140655105973025,40.81104400345125
Wind,HC,3990,1081,6.797431319999988,36.79197994987469,3.8345864661654137,44.495837187789085
Solar PV,IB,960,0,,97.39583333333334,,
Solar PV,GE,64,0,,3.125,,
Solar PV,GN,1594,411,0.0,15.87202007528231,15.87202007528231,0.0
Solar PV,HC,325,0,,32.61538461538461,,
Pump_load,IB,2558,866,23.732045423040024,3.205629397967162,2.931978107896794,5.542725173210162
Pump_load,GE,1370,617,0.0,0.0,0.0,0.0
Pump_load,GN,1010,276,0.0,0.0,0.0,0.0
Pump_load,HC,946,261,0.0,0.0,0.0,0.0
Retailer,IB,3423,923,69.07999999999991,39.059304703476485,8.705813613789074,38.24485373781148
Retailer,GE,3971,1083,193.3199999999993,76.45429362880887,15.61319566859733,76.269621421976
Retailer,GN,4048,1104,0.1999999999999993,21.961462450592887,11.141304347826086,15.760869565217392
Retailer,HC,1100,300,0.0,0.0,0.0,0.0
Direct_consumer,IB,1012,276,0.8000000000000007,95.94861660079052,5.138339920948617,95.28985507246377
Direct_consumer,HC,1612,441,0.1,15.570719602977668,4.466501240694789,12.244897959183673
