year,high (>€50),low (<€20),mid
2018,85.0,82.0,81.0
2019,89.0,74.0,87.0
2020,95.0,73.0,88.0
2021,84.0,84.0,90.0
2022,60.0,53.0,46.0
2023,44.0,43.0,46.0
2024,43.0,40.0,42.0
2025,43.0,42.0,42.0
2026,45.0,37.0,42.0
