month,ib_q4_pct,ib_hydro_gwh,fringe_q4_pct,reservoir_twh,gap_pp,year,cal_month,res_decile
2018-05-01,40.973108704461666,628.0285000000001,23.31173949623396,11.9421175,17.661369208227704,2018,5,9
2018-06-01,50.87745535110733,299.5651,29.73699781755871,11.943759,21.14045753354862,2018,6,9
2018-07-01,47.28995970947389,685.1982999999999,35.6458468761771,11.719596,11.644112833296788,2018,7,9
2018-09-01,44.7475638454045,955.7070000000002,43.176157169274376,8.207685000000001,1.571406676130124,2018,9,4
2018-10-01,64.94928448347484,575.3466000000001,45.32492399578202,7.7450135,19.62436048769282,2018,10,3
2018-11-01,77.81301357197366,383.9530000000001,44.52200365076101,7.8634260000000005,33.29100992121265,2018,11,3
2018-12-01,77.0723860724735,317.9257999999999,42.62051791482523,8.1325012,34.45186815764828,2018,12,3
2019-01-01,77.47379512092495,463.9117,43.996624326746435,7.9415485,33.47717079417851,2019,1,3
2019-02-01,59.27668404500099,168.2363,40.341957409379106,8.76229275,18.934726635621885,2019,2,4
2019-03-01,61.54744203192575,323.35040000000004,45.1104974874255,9.004679,16.43694454450025,2019,3,4
2019-04-01,80.62530712980113,164.0186,43.52212451587524,9.17914675,37.10318261392589,2019,4,5
2019-05-01,89.26392819037899,17.245600000000003,37.55655233409704,9.8918855,51.70737585628195,2019,5,6
2019-06-01,95.54250183973106,30.846899999999998,39.99152134331932,9.5465766,55.55098049641174,2019,6,6
2019-07-01,41.3376386011941,41.035,47.95535519523003,8.55882175,-6.617716594035926,2019,7,4
2019-08-01,100.0,2.6924,46.86356286772549,7.614486,53.13643713227451,2019,8,3
2019-09-01,93.10519019100487,35.6326,55.51496083267289,6.737434,37.590229358331975,2019,9,1
2019-10-01,86.99176350985273,32.8538,62.430880315803215,6.28405475,24.560883194049516,2019,10,1
2019-11-01,86.98226698871724,57.67210000000001,46.914213203746556,6.98615025,40.06805378497069,2019,11,2
2019-12-01,13.097329200144955,303.26869999999997,25.695393416199426,8.771139,-12.598064216054471,2019,12,4
2020-01-01,52.96049864532715,216.3622,36.526160346492546,9.94349825,16.434338298834604,2020,1,7
2020-02-01,53.72954993195207,84.05839999999999,40.14128702793015,10.40588375,13.588262904021924,2020,2,7
2020-03-01,29.05898979253387,557.1607999999999,43.391225908126,10.7812442,-14.332236115592135,2020,3,8
2020-04-01,55.663654783485384,326.1303999999999,28.993615184150002,11.89796,26.670039599335382,2020,4,9
2020-05-01,38.92800598437091,110.15360000000001,27.249988562228122,12.9164652,11.67801742214279,2020,5,10
2020-06-01,67.53420614273028,156.86509999999998,36.100106648708156,12.51209,31.434099494022128,2020,6,10
2020-07-01,96.01459407235828,83.32150000000001,51.95608587178591,11.588568500000001,44.05850820057237,2020,7,8
2020-08-01,85.36573955554286,153.9046,57.41051915159336,10.043747,27.955220403949497,2020,8,7
2020-09-01,64.42753222760152,242.494,58.774974932059735,8.708621,5.652557295541783,2020,9,4
2020-10-01,85.38089355352629,237.5795,46.74441270846641,8.31578425,38.63648084505988,2020,10,4
2020-11-01,74.75662689182674,454.69280000000003,36.87362359010228,8.5174072,37.883003301724465,2020,11,4
2020-12-01,65.3218946396956,650.5638,39.967247381945405,9.014636,25.354647257750194,2020,12,5
2021-01-01,40.947203322957456,1074.5127,34.57438154049904,9.512106,6.372821782458416,2021,1,5
2021-02-01,49.424889977350986,434.456,32.0636286202287,12.480616,17.361261357122288,2021,2,9
2021-03-01,63.14638096539789,389.2364,34.14744007086428,12.339629,28.99894089453361,2021,3,9
2021-04-01,38.43838643621165,1020.9773,39.60012995028676,11.643726,-1.1617435140751056,2021,4,8
2021-05-01,50.6118437819189,700.7998000000002,42.86426371450908,11.200183599999999,7.747580067409821,2021,5,8
2021-06-01,45.4782090025903,559.6256,40.4806005850965,10.6384655,4.997608417493801,2021,6,8
2021-07-01,28.736886779887538,265.7813999999999,41.70555709352642,9.4104265,-12.968670313638885,2021,7,5
2021-08-01,34.2869687326354,467.3658999999999,38.113939250257374,7.7468943999999995,-3.826970517621973,2021,8,3
2021-09-01,27.62114961874687,508.58600000000007,42.92449234050008,6.5273215,-15.30334272175321,2021,9,1
2021-10-01,57.69314293034349,327.866,49.28187233733928,6.063072,8.411270593004211,2021,10,1
2021-11-01,61.560836879256655,322.436,39.70741117168715,6.017609,21.853425707569507,2021,11,1
2021-12-01,50.53147114823741,272.583,35.816790058722304,6.4413825,14.714681089515103,2021,12,1
2022-01-01,72.28100249869235,348.14209999999997,43.94138179305706,7.0850232,28.339620705635284,2022,1,2
2022-02-01,64.97771873762936,345.8287000000001,50.648252996276085,6.904558,14.329465741353275,2022,2,2
2022-03-01,36.007549830094106,345.5442,29.823688316687363,6.99011625,6.183861513406743,2022,3,2
2022-04-01,74.43568291392009,200.8401,46.38910321341449,7.57374375,28.046579700505603,2022,4,3
2022-05-01,78.20008061043285,159.5327,48.910464469131206,7.907014800000001,29.289616141301643,2022,5,3
2022-06-01,35.298559856885156,160.09520000000003,43.60916140628035,7.5350095,-8.310601549395194,2022,6,2
2022-07-01,60.25584553721828,169.13330000000002,52.465335824194035,6.8052418,7.7905097130242424,2022,7,2
2022-08-01,73.12794639948802,190.95339999999996,48.58794360790181,5.8927802499999995,24.54000279158621,2022,8,1
2022-09-01,59.77806622671869,245.60479999999998,49.82696501374799,5.1973785,9.951101212970705,2022,9,1
2022-10-01,64.136903391457,325.75379999999996,52.38142033116608,4.851089,11.755483060290913,2022,10,1
2022-11-01,76.24417095882652,192.05560000000003,46.01230929616427,5.39264575,30.231861662662247,2022,11,1
2022-12-01,32.6962059725836,450.64250000000004,27.740535693894042,6.8058435,4.955670278689556,2022,12,2
2023-01-01,69.22155490663009,465.8299000000001,32.38701848016547,9.5501012,36.83453642646462,2023,1,6
2023-02-01,58.032242721992844,453.09449999999964,39.244887419814084,9.86478275,18.78735530217876,2023,2,6
2023-03-01,52.18275632958448,262.93589999999995,39.90942869465269,10.004605,12.273327634931789,2023,3,7
2023-04-01,58.63454841013967,364.11689999999976,45.544502633781455,10.0149012,13.090045776358217,2023,4,7
2023-05-01,55.49085585035672,235.9103999999999,41.32661153964126,9.498602,14.16424431071546,2023,5,5
2023-06-01,64.6091507852165,178.5048999999999,39.45654978501803,9.2465005,25.152601000198473,2023,6,5
2023-07-01,90.70774497819045,114.03259999999987,47.563215075591955,8.5519986,43.14452990259849,2023,7,4
2023-08-01,77.07435074770352,182.55229999999986,45.16843551265449,7.569769,31.90591523504903,2023,8,3
2023-09-01,85.55073016591635,183.77329999999972,53.73129858940066,7.142537,31.81943157651569,2023,9,2
2023-10-01,59.7154379512467,342.3154999999998,38.1701544435133,7.076357,21.5452835077334,2023,10,2
2023-11-01,60.93019432667632,332.1262999999998,35.76379040776678,9.12759275,25.166403918909545,2023,11,5
2023-12-01,55.86620329719118,405.43599999999975,40.42320935268511,9.481649,15.442993944506064,2023,12,5
2024-01-01,51.11253610201685,469.7105999999999,35.91950881733293,10.0418435,15.193027284683915,2024,1,7
2024-02-01,50.44227322167368,472.19679999999994,43.85524774087732,10.805321750000001,6.587025480796363,2024,2,8
2024-03-01,55.49859710272631,630.0888999999999,36.117513674626906,12.5388082,19.3810834280994,2024,3,10
2024-04-01,39.47601990523397,1008.3779999999999,32.52165353797269,14.08809575,6.954366367261279,2024,4,10
2024-05-01,64.57918210811643,421.16079999999994,43.18755300093097,14.127399,21.39162910718546,2024,5,10
2024-06-01,66.25356070258202,431.76169999999996,44.99782795027523,13.672969,21.25573275230679,2024,6,10
2024-07-01,61.64924305268008,642.1648999999998,42.538410012886516,12.493314,19.11083303979356,2024,7,9
2024-08-01,72.00585624230669,428.94400000000013,45.255062895814916,11.0184545,26.750793346491776,2024,8,8
2024-09-01,66.32762638150209,338.77979999999997,44.94529751060325,9.9119292,21.38232887089884,2024,9,7
2024-10-01,72.24890684712814,353.9075,44.71631595266101,10.054342,27.532590894467127,2024,10,7
2024-11-01,65.71067275559118,423.2384,39.00252510154461,9.88703825,26.708147654046563,2024,11,6
2024-12-01,62.35337392197777,916.4467999999997,48.002516371064594,9.686121,14.350857550913176,2024,12,6
2025-01-01,56.33080803109852,426.72120000000007,42.37062458523233,10.0172655,13.960183445866193,2025,1,7
2025-02-01,37.46513067518239,769.5875999999996,39.00206987605336,11.2117575,-1.5369392008709752,2025,2,8
2025-03-01,47.11846525615624,748.0648999999999,40.84504518286404,12.4767562,6.2734200732922005,2025,3,9
2025-04-01,62.64036598257452,475.2575999999999,40.9806152186122,14.4711105,21.65975076396232,2025,4,10
2025-05-01,65.62151033298697,391.87120000000016,40.36682719567102,15.35543325,25.25468313731595,2025,5,10
2025-06-01,58.29808966561909,949.6505000000002,38.82511598773914,14.9881452,19.47297367787995,2025,6,10
2025-07-01,69.91471373893907,572.9176000000003,41.76654319128369,13.55278175,28.148170547655383,2025,7,10
2025-08-01,61.96751418534097,527.5163999999997,43.39573267927272,12.0849184,18.57178150606825,2025,8,9
2025-09-01,71.96202125732337,391.3662999999999,48.51492679496347,10.79944525,23.4470944623599,2025,9,8
2025-10-01,61.21013929490196,606.7127999999998,43.69838670894466,9.6443295,17.511752585957296,2025,10,6
2025-11-01,66.90337581323062,488.8488750000002,44.99073808398727,9.54644,21.912637729243357,2025,11,5
2025-12-01,66.5096473769199,332.8625000000001,39.40432016181733,9.78071925,27.10532721510257,2025,12,6
2026-01-01,84.54592176972177,229.20665000000002,52.76175832444751,9.73558425,31.78416344527426,2026,1,6
