firm_group,1.pre-IDA,2.3-sess,3.ISP15-win,4.DA60/ID15,5.DA15/ID15,_table
Fringe,-23726.0,-13936.0,-11071.0,-10640.0,-13958.0,all_units
GE,2975.0,2969.0,2132.0,2459.0,3019.0,all_units
GN,12166.0,5382.0,5621.0,5262.0,7262.0,all_units
HC,2212.0,1738.0,2032.0,1499.0,2265.0,all_units
IB,6374.0,4058.0,2430.0,2331.0,3328.0,all_units
Fringe,-3715.0,-2203.0,-3501.0,-1422.0,-1509.0,wind_only
