era,n_isps,mean_p_actual,mean_mp_IB,rel_mp_pct,transfer_eur_M,part,firm,q4_share_pct,fringe_q4_share_pct,gap_pp
DA60/ID15 PRE-blackout,1000.0,12.51023,6.03059,48.20526880800753,37.6911875,A_F7_IB,,,,
DA60/ID15 POST-blackout,3900.0,68.41765384615384,7.529064102564102,11.00456341208981,183.5209375,A_F7_IB,,,,
DA15/ID15 (post-blackout),10000.0,77.89686299999998,9.573796,12.290348585667694,598.36225,A_F7_IB,,,,
DA60/ID15 PRE-blackout,,,,,,B_F8_hydro,IB,63.13330790457754,42.760689127554166,20.372618777023376
DA60/ID15 PRE-blackout,,,,,,B_F8_hydro,GE,21.20354632155314,42.760689127554166,-21.557142806001025
DA60/ID15 PRE-blackout,,,,,,B_F8_hydro,GN,98.17259497564467,42.760689127554166,55.411905848090505
DA60/ID15 PRE-blackout,,,,,,B_F8_hydro,HC,63.35656064385078,42.760689127554166,20.59587151629661
DA60/ID15 POST-blackout,,,,,,B_F8_hydro,IB,63.767593601745546,41.79345733315045,21.974136268595096
DA60/ID15 POST-blackout,,,,,,B_F8_hydro,GE,29.456511166742022,41.79345733315045,-12.336946166408428
DA60/ID15 POST-blackout,,,,,,B_F8_hydro,GN,90.12603631869996,41.79345733315045,48.33257898554951
DA60/ID15 POST-blackout,,,,,,B_F8_hydro,HC,48.081815230103366,41.79345733315045,6.288357896952917
DA15/ID15 (post-blackout),,,,,,B_F8_hydro,IB,67.18001880786694,44.73019987296841,22.44981893489853
DA15/ID15 (post-blackout),,,,,,B_F8_hydro,GE,29.56791035318309,44.73019987296841,-15.162289519785322
DA15/ID15 (post-blackout),,,,,,B_F8_hydro,GN,93.34703331177064,44.73019987296841,48.61683343880223
DA15/ID15 (post-blackout),,,,,,B_F8_hydro,HC,76.98463846430569,44.73019987296841,32.254438591337276
