regime_str,beta,se,t,p
pre_IDA,-.1383962,.0060739722,-22.785124,0
three_sess,-.06230621,.0087573305,-7.1147494,1.1211634e-12
ISP15_win,-.1230308,.017307824,-7.1083927,1.1740211e-12
DA60_ID15,-.05417734,.0029434627,-18.405989,0
DA15_ID15,-.072285034,.0046212948,-15.641727,0
