regime,firm,n,slope,se,r2,intercept
DA60 PRE-blackout,IB,953,0.9468855012834348,0.18806718252793908,0.26363020677717697,65.1338900643104
DA60 PRE-blackout,GN,953,4.2067362855570005,0.42264520980602344,0.5656151142398516,519.4855973522837
DA60 PRE-blackout,GE,953,-0.33386278067006586,0.1740433780131297,0.04807040057879808,239.17340414454455
DA60 PRE-blackout,HC,953,1.2110263951020943,0.11853467211985362,0.32291585493717145,95.15523349603966
DA60 POST-blackout,IB,3622,4.552613671884695,0.17458597926998112,0.3352029738279596,362.0081235659128
DA60 POST-blackout,GN,3622,12.498629141429754,0.37857705910060174,0.486533186269565,1097.20125243787
DA60 POST-blackout,GE,3622,1.9385378971581297,0.10036269185756079,0.24689833754366775,179.65145194408336
DA60 POST-blackout,HC,3622,1.984919398570294,0.09129914588185854,0.4121052185919012,241.8146511782975
DA15/ID15,IB,18471,1.8515460960617,0.050139606453294336,0.5777299538238381,-188.15472136106746
DA15/ID15,GN,18471,6.604779008193935,0.1430151584544995,0.7518094829551991,-746.6332231639768
DA15/ID15,GE,18471,0.7569625243011014,0.03218781439735313,0.7578470862165257,-69.81753638514284
DA15/ID15,HC,18471,1.6387256230151357,0.0311204040034836,0.4666767266882361,-97.39159056270883
