month,ib_transfer_eur,ib_mp_mean,n_isps,ib_transfer_meur,ib_hydro_gwh,ib_total_gwh,sys_hydro_gwh,ib_hydro_share_of_ib,ib_hydro_share_of_sys
2025-03-01,7757062.5,3.818861538461538,325,7.7570625,748.0648999999986,1160.6074000000006,3889.332800000063,64.45460368424311,19.23375906530772
2025-04-01,31946562.5,6.815266666666666,750,31.9465625,475.2575999999994,1078.7790000000018,3793.9751000001,44.05514011674296,12.526639934984992
2025-05-01,25973500.0,5.362270967741936,775,25.9735,391.871199999998,1339.2891000000075,3783.1225000000477,29.259642298290622,10.358406316475161
2025-06-01,38490937.5,8.2114,750,38.4909375,949.6505000000019,1206.1630999999943,3237.9888999999853,78.73317464279967,29.328405047960672
2025-07-01,42438750.0,8.761548387096774,775,42.43875,572.9176000000003,815.6431000000122,2365.3801000000417,70.24121211838754,24.220952903086918
2025-08-01,37184062.5,7.676709677419354,775,37.1840625,527.5164000000016,737.440999999992,2306.0265000000304,71.5333701272383,22.875556720618544
2025-09-01,37421250.0,7.983200000000001,750,37.42125,391.36630000000133,723.192000000009,2116.2930999999435,54.11651401011024,18.493010254582025
2025-10-01,110776500.0,5.7733680781758965,3070,110.7765,606.7127999999987,990.6871499999864,2419.0134000000553,61.24161396461102,25.081002031654094
2025-11-01,172692375.0,9.30329292929293,2970,172.692375,488.84887499999974,822.2528249999963,2771.506925000092,59.45238011192019,17.638378262395413
2025-12-01,243893062.5,12.715180840664711,3069,243.8930625,332.86249999999967,1004.6779249999989,3174.9462000001395,33.131264429842034,10.48403591846643
2026-01-01,71000312.5,12.749775533108865,891,71.0003125,229.20664999999937,659.3230249999988,2114.380475000056,34.7639383593497,10.840369210276277
