measure,tech,firm,critical_rate,flat_rate,diff_crit_minus_flat,n_crit,n_flat,rate_diff1pct_crit,rate_diff1pct_flat,cv_med_crit,cv_med_flat,cv_p90_crit,cv_p90_flat,n_tranches_crit,n_tranches_flat,slope_crit,slope_flat,pavg_crit,pavg_flat
cv_pavg,hydro,ALL,,,,,,16.59857593089763,11.71789602553452,7.429002154493635e-15,0.0,3.6085763574580336,1.5788120400301036,,,,,,
cv_pavg,nuclear,ALL,,,,,,13.39506172839506,13.613290263036456,0.0,0.0,2.594454215778601,2.416675528291695,,,,,,
per_quarter,CCGT,IB,,,,,,,,,,,,10.17390693097146,8.477067165165506,0.3679066843385876,0.3352942873277557,148.00485531581865,186.18743817675193
per_quarter,CCGT,GE,,,,,,,,,,,,1.8462736142827485,1.8013836197277393,3.8210666248107508,3.8859465534104403,533.4160660838946,534.1942895182592
per_quarter,CCGT,GN,,,,,,,,,,,,3.6955636955636955,3.889211523353984,1.0504851775301531,0.6781739913930358,770.3967724833092,767.6897032621238
per_quarter,CCGT,HC,,,,,,,,,,,,6.93032548072921,6.353476210695689,1.3811228899515318,1.3311999641660386,133.80264172499258,179.55113683749136
per_quarter,CCGT,ALL,,,,,,,,,,,,5.4953100158982515,5.07833756914337,1.3836071307618873,1.2166043258836936,471.75408835172993,487.98289899776955
per_quarter,wind,IB,,,,,,,,,,,,1.1483202287348107,1.139739078992434,0.023781233664900602,0.02023868787268928,4.638402242916937,4.574396644175093
per_quarter,wind,GE,,,,,,,,,,,,1.77674315486088,1.7855269293541618,0.09405468763792353,0.09228096329074477,-5.631273920340534,-5.752108453228487
per_quarter,wind,GN,,,,,,,,,,,,1.7402900051786638,1.7699788876198388,0.042481235035684746,0.03578846912056188,21.462772544757147,21.50572027830155
per_quarter,wind,HC,,,,,,,,,,,,1.601970002238639,1.602534318901795,0.20306974001117076,0.22262463335661622,-0.9779352259294499,-0.967846799935324
