firm,pre-IDA,3-sess,DA60/ID15
GE,28.224771287199204,31.06290060851927,23.766567970420013
IB,71.38925118138859,53.456043118466894,25.876608669108666
GN,132.28836288733655,55.491415841584164,61.13843988376317
HC,22.774972797504624,18.411562214089663,18.75042792002806
