regime_cat,Big4,Fringe,Big4 / Fringe
pre-IDA,249.85476237331497,-329.54535735596363,0.7581801921834705
3-sess,158.69013560223345,-330.94613790093825,0.47950441908385105
ISP15-win,132.0326160928743,-325.96990204808543,0.40504542064560767
DA60/ID15,128.08150197855136,-357.67512238029684,0.3580945219957712
DA15/ID15,167.81208824917414,-378.57616104436244,0.4432716729607006
