unit_code,year,cf,n_days,cf_pct,_table,total_cleared,total_nameplate,delta_pct_vs_2018,ib_cleared,ib_nameplate,ib_cf_pct,Cofrentes,JointAvg,delta,1.pre-2023,2.2023+,delta_pp,IB%
VAN2,2026.0,0.8430450781968721,20.0,84.30450781968722,annual_unit,,,,,,,,,,,,,
,2018.0,,1563.0,19.62157551989186,annual_system,7620114.2,38835384.0,0.0,,,,,,,,,,
,2019.0,,1871.0,18.880392268452376,annual_system,8798132.9,46599312.0,-0.7411832514394838,,,,,,,,,,
,2020.0,,1817.0,23.758255183440095,annual_system,10772855.8,45343632.0,4.136679663548236,,,,,,,,,,
,2021.0,,1689.0,18.768539710256594,annual_system,7903966.6,42112848.0,-0.8530358096352657,,,,,,,,,,
,2022.0,,1724.0,10.950299431797237,annual_system,4705715.1,42973392.0,-8.671276088094622,,,,,,,,,,
,2023.0,,1785.0,12.522206385333076,annual_system,5574952.4,44520528.0,-7.099369134558783,,,,,,,,,,
,2024.0,,1873.0,37.46322313964603,annual_system,17487284.1,46678536.0,17.841647619754173,,,,,,,,,,
,2025.0,,1928.0,47.342122913478754,annual_system,22721264.85,47993760.0,27.720547393586894,,,,,,,,,,
,2026.0,,120.0,56.07981233611601,annual_system,1676741.525,2989920.0,36.458236816224144,,,,,,,,,,
,2018.0,,,,ib_attributable_annual,,,,3536542.372,15360031.68,23.02431691338803,,,,,,,
,2019.0,,,,ib_attributable_annual,,,,3934677.748,16497888.96,23.849583165093627,,,,,,,
,2020.0,,,,ib_attributable_annual,,,,4544883.071,16437190.56,27.649999277005406,,,,,,,
,2021.0,,,,ib_attributable_annual,,,,3517033.013,15926098.08,22.083456948043608,,,,,,,
,2022.0,,,,ib_attributable_annual,,,,1770716.2580000001,16408620.72,10.791377826423428,,,,,,,
,2023.0,,,,ib_attributable_annual,,,,1739633.4370000002,16831497.36,10.335583339924549,,,,,,,
,2024.0,,,,ib_attributable_annual,,,,3974996.254,15808683.84,25.14438453087566,,,,,,,
,2025.0,,,,ib_attributable_annual,,,,5039865.519,15567723.6,32.37381166633765,,,,,,,
,2026.0,,,,ib_attributable_annual,,,,356898.46775,978768.0,36.4640515168048,,,,,,,
ALZ1,,,,,era_comparison,,,,,,,,,,16.2,17.4,1.2,53.0
ALZ2,,,,,era_comparison,,,,,,,,,,16.5,15.8,-0.7,53.0
TRL1,,,,,era_comparison,,,,,,,,,,43.0,12.3,-30.7,48.0
VAN2,,,,,era_comparison,,,,,,,,,,9.7,49.2,39.5,28.0
ASC2,,,,,era_comparison,,,,,,,,,,8.0,47.9,39.9,15.0
ASC1,,,,,era_comparison,,,,,,,,,,11.0,67.5,56.5,0.0
