regime,big4_effect,se,diff_vs_preida,diff_se,p
pre-IDA,145.7176468757298,0.6249723103575697,0.0,0.0,
3-sess,121.18563097083417,2.1207566418955373,-24.532015904895626,2.210712047229838,1.298933629821625e-28
DA60/ID15,123.03095438241417,2.5471547643884427,-22.68669249331564,2.622821411767285,5.162220306949403e-18
