regime,big4_effect,se,diff_vs_preida,diff_se,p
pre-IDA,582.870486936398,9.392029841227913,0.0,0.0,
3-sess,484.7403752858183,20.044756794678968,-98.13011165057975,22.129979559827518,9.238852338309266e-06
DA60/ID15,490.2161116270101,25.467834098934162,-92.65437530938793,27.143440095864353,0.0006413205543984464
