regime,Fringe,Big4,gap
pre-IDA,-321.6328055909061,254.84541984732823,576.4782254382344
3-sess,-323.86481192581033,160.3330342060811,484.1978461318914
DA60/ID15,-360.7368018238073,129.4525355435715,490.1893373673788
