firm,DA60_PRE_blackout_MWh,DA60_POST_blackout_MWh,DA15_ID15_MWh,post_share_%
GE,31819.0,101213.0,134261.0,34.28
IB,39957.0,73489.0,92012.0,24.89
GN,9858.0,40543.0,38770.0,13.73
EnergyaVM,12601.0,25673.0,13630.0,8.7
Totalenergies,2945.0,18258.0,34345.0,6.18
HC,4791.0,13360.0,15457.0,4.53
Axpo,13.0,8208.0,4343.0,2.78
Engie,16.0,7342.0,4158.0,2.49
Nexus,197.0,4988.0,1831.0,1.69
Acciona,4791.0,911.0,5078.0,0.31
Alpiq,1294.0,856.0,0.0,0.29
BBE,1302.0,394.0,6277.0,0.13
Iberdrola,0.0,0.0,156.0,0.0
