firm,tech,regime,pre_same_cal_yield,post_yield,delta_yield,n_pre_days,n_post_days
GE,CCGT,DA60/ID15,0.8234224005887472,2.428550565744056,1.6051281651553089,1165,195
GE,CCGT,ISP15-win,1.2094013384223072,1.4779311576692153,0.2685298192469081,813,108
GE,CCGT,DA15/ID15,1.206761847288283,0.6451005694063413,-0.5616612778819418,765,112
GE,CCGT,3-sess,0.8685281758453547,1.903804014747565,1.0352758389022103,1106,170
GE,Hydro,DA60/ID15,0.8096750954449681,3.3763768239800718,2.5667017285351035,1170,195
GE,Hydro,ISP15-win,0.41095936166373065,-1.8229769501051245,-2.233936311768855,815,108
GE,Hydro,DA15/ID15,1.0163047408611858,2.7697568549327025,1.7534521140715167,763,112
GE,Hydro,3-sess,1.0176086552355479,0.9148220437030438,-0.10278661153250412,1106,164
IB,CCGT,DA60/ID15,0.7510941684794734,1.2279407805209361,0.4768466120414627,1159,178
IB,CCGT,ISP15-win,1.3040248717618192,1.9438572384042672,0.6398323666424479,780,107
IB,CCGT,DA15/ID15,0.9108007454860825,3.7156691737222327,2.8048684282361505,748,111
IB,CCGT,3-sess,0.5618676852580304,2.194114110122128,1.6322464248640978,1101,167
IB,Hydro,DA60/ID15,-0.6759112481240102,-0.9710964682522742,-0.2951852201282641,1156,195
IB,Hydro,ISP15-win,-1.0514477208348432,-0.11053035270638797,0.9409173681284552,811,108
IB,Hydro,DA15/ID15,-1.2594877712906487,-2.2481946681834235,-0.9887068968927748,763,112
IB,Hydro,3-sess,-1.5990939949441372,2.521920230065519,4.121014225009656,1092,170
GN,CCGT,DA60/ID15,1.046990632770273,2.389458042085869,1.342467409315596,1172,195
GN,CCGT,ISP15-win,1.453109537693492,2.054644374567513,0.6015348368740212,818,108
GN,CCGT,DA15/ID15,1.3533663164383865,3.609412808245358,2.2560464918069716,769,112
GN,CCGT,3-sess,1.1460235944862394,2.3896753251348417,1.2436517306486023,1111,170
GN,Hydro,DA60/ID15,0.7119834891273275,3.0313379564509515,2.319354467323624,1157,195
GN,Hydro,ISP15-win,1.0528148048851673,2.507944107780319,1.4551293028951517,818,108
GN,Hydro,DA15/ID15,1.3430280402764683,4.888743597712766,3.545715557436298,762,112
GN,Hydro,3-sess,0.9029581992155301,3.165997395954593,2.263039196739063,1089,170
HC,CCGT,DA60/ID15,1.4149522523322238,1.9497719401939944,0.5348196878617706,652,184
HC,CCGT,ISP15-win,1.7194033077042605,1.4863923280072353,-0.23301097969702522,472,97
HC,CCGT,DA15/ID15,1.587863407686115,2.6732315244858778,1.0853681167997629,523,91
HC,CCGT,3-sess,1.2955700828659238,1.2305973505867212,-0.06497273227920264,747,120
HC,Hydro,DA60/ID15,0.11042007349345637,3.8618395532802006,3.7514194797867444,1170,195
HC,Hydro,ISP15-win,0.27306350567949456,0.9014904247048479,0.6284269190253533,818,108
HC,Hydro,DA15/ID15,0.06793525334312328,2.605978003398771,2.5380427500556477,769,112
HC,Hydro,3-sess,-0.04437279405868627,1.4942506431798996,1.5386234372385859,1110,170
