unit_code,firm,n_pre,n_ref,mean_pre,mean_ref,delta_pp
ASC1,GE,875.0,143.0,0.9240925295447557,0.05498874554323236,-86.91037840015234
VAN2,IB,786.0,151.0,0.8856652386164247,0.286936275907419,-59.87289627090057
ASC2,IB,880.0,104.0,0.8783161289788586,0.29643835407535746,-58.187777490350115
ALZ1,IB,890.0,145.0,0.8638198779171461,0.6557500172279352,-20.806986068921084
ALZ2,IB,939.0,149.0,0.8632839688165513,0.6870721389844613,-17.621182983209003
COF1,IB,962.0,137.0,0.9896617514378778,0.8534888357513737,-13.617291568650414
TRL1,IB,735.0,125.0,0.6162213618322516,0.8114544064671367,19.52330446348851
