label,transform,n_pre,n_da15,R2,lb_p_lag5,lb_p_lag10,lb_p_lag20,lb_p_lag30,amp_1,amp_2,amp_3,amp_4,obs_lvl_mean,yhat_seasonal_lvl,yhat_full_lvl,resid_seasonal_lvl,resid_full_lvl,n_oob_full
CCGT in-band share,logit,894,101,0.48747322212810784,3.6674392456779e-166,1.6338162348838466e-220,3.9004221913013466e-230,2.2077260665512288e-223,0.15624903901252274,0.0973368495763255,0.07764603488692422,0.07891906202175647,0.33609542548971477,0.17445068561949104,0.06625164712383688,0.16164473987022374,0.2698437783658779,0
Wind in-band share,logit,894,101,0.5536532856989227,1.7042373869505522e-104,1.2776967948302783e-149,2.2062923464825726e-148,9.145729909126e-150,1.1200902986605832,0.8182052180958063,0.3429502918634226,0.6880524876673921,0.2788507021150134,0.09709498221759559,0.004065972476111351,0.1817557198974178,0.27478472963890205,0
Solar_PV in-band share,logit,894,101,0.5601188855072561,1.726805484762784e-58,5.087008114733382e-83,1.892155681810473e-83,8.15992375778344e-90,0.9324580486403015,0.6702885816959012,0.3080146809980227,0.1680957674424197,0.4003128553798092,0.32374256804198454,0.3049454459335194,0.07657028733782467,0.0953674094462898,0
Hydro in-band share,logit,894,101,0.5683826597413184,2.8834761641643897e-191,1.4690326759604294e-258,2.902338166691739e-279,4.0998287504941025e-277,0.15386969950775234,0.20133255981486098,0.08219218174617433,0.07462582708424162,0.3484903665982042,0.31509524156380564,0.9215594724253647,0.033395125034398565,-0.5730691058271605,0
Nuclear in-band share,logit,894,101,0.5036554530865466,4.5612779636790945e-74,1.7050698815874064e-98,1.672389076627602e-95,9.157071894303695e-99,0.9646133345432915,0.43138780843382113,0.32941049382031456,0.3475472068427029,0.11949347561996713,0.035043120331738925,1.8310420968801055e-06,0.08445035528822821,0.11949164457787026,0
