tech,ym,q1_gwh
Cogen,2024-06-01,36.42609999999996
Solar PV,2024-07-01,29.37430000000004
Hydro,2024-08-01,303.0077999999986
Hydro_RES,2024-08-01,4.822499999999998
Hydro,2024-09-01,343.1327
Hydro_RES,2024-09-01,3.4963999999999995
Coal,2024-09-01,1.2
Hydro,2024-10-01,495.95659999999884
Hydro_RES,2024-10-01,2.5203999999999978
Coal,2024-10-01,5.643
Solar PV,2024-11-01,37.391600000000054
Solar PV,2024-12-01,56.50110000000016
Solar PV,2025-01-01,75.37439999999998
Solar PV,2025-02-01,148.45579999999973
CCGT,2025-03-01,14.4172
Nuclear,2025-03-01,2076.938100000005
Wind,2025-03-01,1456.3582000000017
Hybrid_RES,2025-03-01,52.347100000000005
Hybrid_RES_storage,2025-03-01,16.0288
Hydro_pump,2025-03-01,184.26219999999998
Solar PV,2025-04-01,59.77180000000015
Wind,2025-05-01,457.98040000000026
Hydro_pump,2025-05-01,276.2964000000003
Hybrid_RES,2025-05-01,17.402800000000003
Hybrid_RES_storage,2025-05-01,2.6951000000000023
Nuclear,2025-05-01,2089.4711999999995
Hydro,2025-06-01,1192.6361999999983
Hydro_RES,2025-06-01,1.0239999999999971
Hydro,2025-07-01,613.7059000000006
Hydro_RES,2025-07-01,1.8550000000000022
Hydro,2025-08-01,424.2756999999996
Hydro_RES,2025-08-01,3.1632000000000025
Solar PV,2025-09-01,95.76660000000005
Wind,2025-10-01,544.0599
Hybrid_RES,2025-10-01,34.02254999999996
Hybrid_RES_storage,2025-10-01,2.217399999999998
Hydro_pump,2025-10-01,338.49272499999984
Nuclear,2025-10-01,1854.055725000001
CCGT,2025-10-01,1001.4023749999966
Storage_sell,2025-10-01,0.034800000000000005
Nuclear,2025-11-01,1909.4453500000063
Wind,2025-11-01,1081.3276250000038
Hybrid_RES,2025-11-01,49.64829999999999
Hybrid_RES_storage,2025-11-01,3.8862000000000028
Hydro_pump,2025-11-01,340.8856500000004
CCGT,2025-11-01,130.10235
Solar PV,2025-12-01,34.42499999999969
Hydro,2026-01-01,131.15659999999997
Hydro_RES,2026-01-01,0.288499999999999
Storage_sell,2024-03-01,0.004200000000000001
CCGT,2025-05-01,1.6622999999999999
Hydro_pump,2024-01-01,224.04540000000006
Wind,2024-01-01,994.4220000000001
Nuclear,2024-01-01,301.8707999999997
CCGT,2024-01-01,432.47080000000005
Nuclear,2024-02-01,1463.9898000000014
Wind,2024-02-01,1512.7107
Hydro_pump,2024-02-01,286.1665000000001
Hybrid_RES_storage,2024-02-01,8.159199999999998
Storage_sell,2024-02-01,0.08999999999999998
CCGT,2024-02-01,36.9108
Hybrid_RES_storage,2024-01-01,5.557600000000001
Solar PV,2024-03-01,124.91629999999972
Hydro_RES,2024-04-01,6.45170000000002
Hydro,2024-04-01,1625.5576
Nuclear,2024-05-01,973.2454000000008
CCGT,2024-05-01,6.1638
Wind,2024-05-01,682.0008000000001
Hydro_pump,2024-05-01,328.08550000000014
Hybrid_RES,2024-05-01,12.777400000000005
Hybrid_RES_storage,2024-05-01,11.252899999999999
Storage_sell,2024-05-01,0.047599999999999996
Hydro,2024-06-01,646.6879999999993
Hydro_RES,2024-06-01,3.625300000000002
Nuclear,2024-07-01,2321.8528000000056
Wind,2024-07-01,435.0115000000004
Hybrid_RES,2024-07-01,16.164999999999992
Hybrid_RES_storage,2024-07-01,4.075399999999999
Hydro_pump,2024-07-01,263.89380000000006
Storage_sell,2024-07-01,0.06480000000000001
CCGT,2024-07-01,420.9153999999999
Cogen,2024-08-01,35.87059999999993
Cogen,2024-09-01,35.37750000000006
Cogen,2024-10-01,37.05360000000006
CCGT,2024-11-01,637.3230000000002
Nuclear,2024-11-01,932.7409999999988
Wind,2024-11-01,666.2150999999997
Hydro_pump,2024-11-01,181.8442000000002
Hybrid_RES,2024-11-01,31.35699999999999
Hybrid_RES_storage,2024-11-01,7.589799999999998
Nuclear,2024-12-01,1253.4624999999996
CCGT,2024-12-01,1443.6966000000018
Wind,2024-12-01,731.9222000000005
Hybrid_RES,2024-12-01,30.43209999999999
Hybrid_RES_storage,2024-12-01,5.403800000000001
Hydro_pump,2024-12-01,195.40690000000026
CCGT,2025-01-01,416.3920999999999
Nuclear,2025-01-01,2217.523699999994
Wind,2025-01-01,1353.4783999999997
Hybrid_RES,2025-01-01,50.7337
Hybrid_RES_storage,2025-01-01,14.7844
Hydro_pump,2025-01-01,217.54600000000022
Wind,2025-02-01,956.5058999999998
Hybrid_RES,2025-02-01,31.095200000000016
Hybrid_RES_storage,2025-02-01,18.351100000000006
Hydro_pump,2025-02-01,256.6312
CCGT,2025-02-01,246.1703
Nuclear,2025-02-01,1680.100799999998
Solar PV,2025-03-01,120.74699999999984
Nuclear,2025-04-01,1877.1487000000034
Wind,2025-04-01,841.7239000000002
Hybrid_RES,2025-04-01,29.4969
Hybrid_RES_storage,2025-04-01,5.449300000000001
Hydro_pump,2025-04-01,266.65740000000017
CCGT,2025-04-01,17.569
Solar PV,2025-05-01,25.793600000000005
Cogen,2025-06-01,22.113200000000017
Cogen,2025-07-01,22.687099999999983
Cogen,2025-08-01,30.960699999999903
Nuclear,2025-09-01,2437.303200000001
Wind,2025-09-01,451.53720000000015
Hybrid_RES,2025-09-01,34.6196
Hybrid_RES_storage,2025-09-01,2.0117000000000003
Hydro_pump,2025-09-01,266.20849999999996
CCGT,2025-09-01,252.72639999999998
Storage_sell,2025-09-01,0.047299999999999995
Solar PV,2025-10-01,89.79215000000038
Solar PV,2025-11-01,100.18107500000042
Wind,2025-12-01,695.9128749999958
Hybrid_RES,2025-12-01,35.544224999999926
Hybrid_RES_storage,2025-12-01,1.5962999999999996
Hydro_pump,2025-12-01,247.29617499999935
Nuclear,2025-12-01,2586.919100000035
CCGT,2025-12-01,243.65990000000002
Cogen,2026-01-01,13.090275
Storage_sell,2024-01-01,0.0341
Storage_sell,2025-12-01,0.0012000000000000003
