direction,regime,n_isps,mean_total_mw,mean_n_tranches,median_price,q90_q10_spread
Subir,pre-IDA,68954,6371.6342503698115,119.11693302781565,123.0,148.62500000000023
Subir,3-sess,14972,6169.734203847182,136.67599519102325,111.9825,86.1665
Subir,ISP15 win (partial),905,7159.844530386739,144.79116022099447,139.0,108.47600000000003
Bajar,pre-IDA,68954,5770.210695536155,109.67543579777823,21.53,118.97050000000003
Bajar,3-sess,14972,5258.62582153353,139.32961528185947,-7.717499999999999,123.32000000000002
Bajar,ISP15 win (partial),905,6191.760552486187,154.88950276243094,-3.2350000000000003,139.834
