regime,is_big4,mean,abs_mean,count
3-sess,False,-80.96620298145258,93.3143135725429,23076
3-sess,True,40.083258551520274,50.136547191722975,37888
DA60/ID15,False,-90.25401100020368,137.95431452434303,24545
DA60/ID15,True,32.76979421985045,48.43671581707053,64462
pre-IDA,False,-80.40820139772653,98.77508843640129,370888
pre-IDA,True,63.71135496183206,78.02806333717413,444352
