firm,month,q_sell_mwh,q_buy_mwh,net_seller_mwh,net_seller_gwh,era
GE,2024-01-01,593275.4000000085,0.0,593275.4000000085,593.2754000000085,pre-Rule-28.8
GE,2024-02-01,1478984.7000000048,0.0,1478984.7000000048,1478.9847000000048,pre-Rule-28.8
GE,2024-03-01,2079357.7999999663,0.0,2079357.7999999663,2079.357799999966,pre-Rule-28.8
GE,2024-04-01,1664211.0999999712,0.0,1664211.0999999712,1664.211099999971,pre-Rule-28.8
GE,2024-05-01,1618520.4999999935,0.0,1618520.4999999935,1618.5204999999935,pre-Rule-28.8
GE,2024-06-01,1676962.4000000153,0.0,1676962.4000000153,1676.9624000000154,pre-Rule-28.8
GE,2024-07-01,2430934.100000015,0.0,2430934.100000015,2430.934100000015,pre-Rule-28.8
GE,2024-08-01,2326086.800000024,0.0,2326086.800000024,2326.086800000024,pre-Rule-28.8
GE,2024-09-01,2349097.5000000037,0.0,2349097.5000000037,2349.097500000004,pre-Rule-28.8
GE,2024-10-01,2342398.2999999975,0.0,2342398.2999999975,2342.3982999999976,pre-Rule-28.8
GE,2024-11-01,1198439.8000000187,0.0,1198439.8000000187,1198.4398000000187,pre-Rule-28.8
GE,2024-12-01,1805443.3999999827,0.0,1805443.3999999827,1805.4433999999826,pre-Rule-28.8
GE,2025-01-01,2445331.0999999465,0.0,2445331.0999999465,2445.3310999999467,pre-Rule-28.8
GE,2025-02-01,1983180.2999999714,0.0,1983180.2999999714,1983.1802999999713,pre-Rule-28.8
GE,2025-03-01,2303308.199999974,0.0,2303308.199999974,2303.308199999974,post-Rule-28.8
GE,2025-04-01,2396296.699999991,0.0,2396296.699999991,2396.296699999991,post-Rule-28.8
GE,2025-05-01,2361084.399999982,0.0,2361084.399999982,2361.084399999982,post-Rule-28.8
GE,2025-06-01,1860359.4000000108,0.0,1860359.4000000108,1860.3594000000107,post-Rule-28.8
GE,2025-07-01,2490621.6000000103,0.0,2490621.6000000103,2490.6216000000104,post-Rule-28.8
GE,2025-08-01,2734987.699999999,0.0,2734987.699999999,2734.9876999999988,post-Rule-28.8
GE,2025-09-01,2503415.099999987,0.0,2503415.099999987,2503.415099999987,post-Rule-28.8
GE,2025-10-01,2196128.649999967,0.0,2196128.649999967,2196.128649999967,post-Rule-28.8
GE,2025-11-01,2194762.7999999626,0.0,2194762.7999999626,2194.7627999999627,post-Rule-28.8
GE,2025-12-01,2652105.6250000196,0.0,2652105.6250000196,2652.1056250000197,post-Rule-28.8
GE,2026-01-01,1788187.974999962,0.0,1788187.974999962,1788.1879749999619,post-Rule-28.8
GN,2024-01-01,190312.50000000285,0.0,190312.50000000285,190.31250000000284,pre-Rule-28.8
GN,2024-02-01,72840.49999999972,0.0,72840.49999999972,72.84049999999972,pre-Rule-28.8
GN,2024-03-01,216697.60000000283,0.0,216697.60000000283,216.69760000000284,pre-Rule-28.8
GN,2024-04-01,26507.099999999562,0.0,26507.099999999562,26.50709999999956,pre-Rule-28.8
GN,2024-05-01,12760.09999999997,0.0,12760.09999999997,12.76009999999997,pre-Rule-28.8
GN,2024-06-01,52456.00000000055,0.0,52456.00000000055,52.45600000000055,pre-Rule-28.8
GN,2024-07-01,95853.89999999967,0.0,95853.89999999967,95.85389999999967,pre-Rule-28.8
GN,2024-08-01,140840.19999999923,0.0,140840.19999999923,140.84019999999921,pre-Rule-28.8
GN,2024-09-01,114658.90000000039,0.0,114658.90000000039,114.65890000000039,pre-Rule-28.8
GN,2024-10-01,68527.9000000002,0.0,68527.9000000002,68.5279000000002,pre-Rule-28.8
GN,2024-11-01,269607.40000000014,0.0,269607.40000000014,269.60740000000015,pre-Rule-28.8
GN,2024-12-01,595599.9000000046,0.0,595599.9000000046,595.5999000000046,pre-Rule-28.8
GN,2025-01-01,180663.6000000027,0.0,180663.6000000027,180.6636000000027,pre-Rule-28.8
GN,2025-02-01,133885.500000001,0.0,133885.500000001,133.885500000001,pre-Rule-28.8
GN,2025-03-01,75849.60000000017,0.0,75849.60000000017,75.84960000000017,post-Rule-28.8
GN,2025-04-01,39913.19999999993,0.0,39913.19999999993,39.91319999999993,post-Rule-28.8
GN,2025-05-01,110148.4999999998,0.0,110148.4999999998,110.1484999999998,post-Rule-28.8
GN,2025-06-01,211874.00000000064,0.0,211874.00000000064,211.87400000000065,post-Rule-28.8
GN,2025-07-01,256240.50000000096,0.0,256240.50000000096,256.24050000000096,post-Rule-28.8
GN,2025-08-01,138766.10000000073,0.0,138766.10000000073,138.76610000000073,post-Rule-28.8
GN,2025-09-01,152548.19999999995,0.0,152548.19999999995,152.54819999999995,post-Rule-28.8
GN,2025-10-01,589014.475000002,0.0,589014.475000002,589.014475000002,post-Rule-28.8
GN,2025-11-01,60230.85000000056,0.0,60230.85000000056,60.23085000000056,post-Rule-28.8
GN,2025-12-01,126007.64999999781,0.0,126007.64999999781,126.00764999999781,post-Rule-28.8
GN,2026-01-01,98365.55000000032,0.0,98365.55000000032,98.36555000000033,post-Rule-28.8
HC,2024-01-01,77124.19999999985,0.0,77124.19999999985,77.12419999999985,pre-Rule-28.8
HC,2024-02-01,38011.50000000017,0.0,38011.50000000017,38.01150000000017,pre-Rule-28.8
HC,2024-03-01,72734.29999999913,0.0,72734.29999999913,72.73429999999912,pre-Rule-28.8
HC,2024-04-01,14696.000000000342,0.0,14696.000000000342,14.696000000000343,pre-Rule-28.8
HC,2024-05-01,3169.499999999995,0.0,3169.499999999995,3.169499999999995,pre-Rule-28.8
HC,2024-06-01,29911.300000000097,0.0,29911.300000000097,29.911300000000097,pre-Rule-28.8
HC,2024-07-01,18824.400000000012,0.0,18824.400000000012,18.82440000000001,pre-Rule-28.8
HC,2024-08-01,13644.300000000045,0.0,13644.300000000045,13.644300000000046,pre-Rule-28.8
HC,2024-09-01,5935.099999999999,0.0,5935.099999999999,5.935099999999999,pre-Rule-28.8
HC,2024-10-01,13663.499999999998,0.0,13663.499999999998,13.663499999999997,pre-Rule-28.8
HC,2024-11-01,101413.59999999974,0.0,101413.59999999974,101.41359999999975,pre-Rule-28.8
HC,2024-12-01,207116.49999999968,0.0,207116.49999999968,207.1164999999997,pre-Rule-28.8
HC,2025-01-01,114963.99999999952,0.0,114963.99999999952,114.96399999999952,pre-Rule-28.8
HC,2025-02-01,36904.19999999986,0.0,36904.19999999986,36.90419999999986,pre-Rule-28.8
HC,2025-03-01,26990.89999999999,0.0,26990.89999999999,26.99089999999999,post-Rule-28.8
HC,2025-04-01,5210.5999999999885,0.0,5210.5999999999885,5.210599999999989,post-Rule-28.8
HC,2025-05-01,6396.9,0.0,6396.9,6.3969,post-Rule-28.8
HC,2025-06-01,40874.899999999914,0.0,40874.899999999914,40.87489999999991,post-Rule-28.8
HC,2025-07-01,39324.600000000086,0.0,39324.600000000086,39.32460000000009,post-Rule-28.8
HC,2025-08-01,38668.30000000005,0.0,38668.30000000005,38.668300000000045,post-Rule-28.8
HC,2025-09-01,112927.90000000008,0.0,112927.90000000008,112.92790000000008,post-Rule-28.8
HC,2025-10-01,142403.67500000022,0.0,142403.67500000022,142.40367500000022,post-Rule-28.8
HC,2025-11-01,111730.62499999933,0.0,111730.62499999933,111.73062499999934,post-Rule-28.8
HC,2025-12-01,140724.49999999933,0.0,140724.49999999933,140.72449999999932,post-Rule-28.8
HC,2026-01-01,97620.37499999972,0.0,97620.37499999972,97.62037499999973,post-Rule-28.8
IB,2024-01-01,751849.7999999736,0.0,751849.7999999736,751.8497999999736,pre-Rule-28.8
IB,2024-02-01,779748.5999999745,0.0,779748.5999999745,779.7485999999744,pre-Rule-28.8
IB,2024-03-01,1192419.9000000004,0.0,1192419.9000000004,1192.4199000000003,pre-Rule-28.8
IB,2024-04-01,1312484.7999999973,0.0,1312484.7999999973,1312.4847999999972,pre-Rule-28.8
IB,2024-05-01,517485.2999999922,0.0,517485.2999999922,517.4852999999922,pre-Rule-28.8
IB,2024-06-01,654463.799999991,0.0,654463.799999991,654.463799999991,pre-Rule-28.8
IB,2024-07-01,1143084.599999998,0.0,1143084.599999998,1143.084599999998,pre-Rule-28.8
IB,2024-08-01,620414.8000000059,0.0,620414.8000000059,620.4148000000058,pre-Rule-28.8
IB,2024-09-01,468778.80000000587,0.0,468778.80000000587,468.77880000000584,pre-Rule-28.8
IB,2024-10-01,435948.60000000556,0.0,435948.60000000556,435.94860000000557,pre-Rule-28.8
IB,2024-11-01,665768.0000000094,0.0,665768.0000000094,665.7680000000095,pre-Rule-28.8
IB,2024-12-01,1376600.0999999796,0.0,1376600.0999999796,1376.6000999999796,pre-Rule-28.8
IB,2025-01-01,649620.0999999954,0.0,649620.0999999954,649.6200999999954,pre-Rule-28.8
IB,2025-02-01,885589.199999978,0.0,885589.199999978,885.589199999978,pre-Rule-28.8
IB,2025-03-01,1160607.4000000006,0.0,1160607.4000000006,1160.6074000000006,post-Rule-28.8
IB,2025-04-01,1078779.0000000019,0.0,1078779.0000000019,1078.7790000000018,post-Rule-28.8
IB,2025-05-01,1339289.1000000075,0.0,1339289.1000000075,1339.2891000000075,post-Rule-28.8
IB,2025-06-01,1206163.0999999926,0.0,1206163.0999999926,1206.1630999999927,post-Rule-28.8
IB,2025-07-01,815643.1000000124,0.0,815643.1000000124,815.6431000000124,post-Rule-28.8
IB,2025-08-01,737440.999999992,0.0,737440.999999992,737.440999999992,post-Rule-28.8
IB,2025-09-01,723192.0000000098,0.0,723192.0000000098,723.1920000000098,post-Rule-28.8
IB,2025-10-01,990687.1499999857,0.0,990687.1499999857,990.6871499999856,post-Rule-28.8
IB,2025-11-01,822252.8249999974,0.0,822252.8249999974,822.2528249999974,post-Rule-28.8
IB,2025-12-01,1004677.9250000153,0.0,1004677.9250000153,1004.6779250000153,post-Rule-28.8
IB,2026-01-01,659323.0249999994,0.0,659323.0249999994,659.3230249999995,post-Rule-28.8
