window,ES_da,FR_da,DE_da,PT_da,ES_FR_gap,ES_DE_gap,ES_PT_gap
pre-IDA,35.7,49.019999999999996,65.6,38.459999999999994,-13.319999999999993,-29.89999999999999,-2.759999999999991
3-sess,77.51666666666667,59.48333333333333,83.61666666666666,81.18333333333334,18.03333333333334,-6.099999999999994,-3.6666666666666714
ISP15-win,105.39999999999999,106.96666666666665,116.96666666666665,106.56666666666666,-1.5666666666666629,-11.566666666666663,-1.1666666666666714
DA60/ID15 PRE-blackout,39.95,60.7,85.15,41.75,-20.75,-45.2,-1.7999999999999972
DA60/ID15 POST-blackout,57.779999999999994,42.98,76.34,62.42,14.799999999999997,-18.56000000000001,-4.640000000000008
DA15/ID15,52.91428571428572,64.71428571428571,95.89999999999999,57.82857142857143,-11.79999999999999,-42.98571428571427,-4.914285714285711
