year,twh,n_isps,hours,cf_pct,delta_vs_2019
2018,41.149256,6719,6719,64.22546589667552,-6.598962072732959
2019,45.377211,7086,7086,70.82442796940848,0.0
2020,43.096196,6786,6786,67.26423599188388,-3.560191977524596
2021,43.562396,7033,7033,67.99187763383799,-2.832550335570488
2022,28.5419057,10139,10139,44.54800327766506,-26.276424691743415
2023,19.980326,12865,12865,31.185150616513198,-39.63927735289528
2024,17.937161,11964,11964,27.996193226158887,-42.82823474324959
2025,20.027389,13603,13603,31.258606211955676,-39.565821757452795
2026,4.367273,2953,2953,6.816408615576713,-64.00801935383176
