spec,post_date,n,G,beta_log,se,p,pct,rsq
A original 12mo,2025-03-19,1460,365,-0.535637872187761,0.12269033340102417,1.2667526872416076e-05,-41.47041728831131,0.8458229723709243
B 24mo around reform,2025-03-19,2740,685,-0.12993609749286444,0.019855631768897417,5.98777821119522e-11,-12.184845478699568,0.8204030971726145
C post-Q1-2024-break,2025-03-19,2688,672,-0.13279621757944043,0.019566673128318918,1.1460249115424366e-11,-12.435648531656895,0.8255424359890733
D placebo 2024-09-19,2024-09-19,1460,365,0.13503604405808023,0.06118269386525891,0.027307392958926344,14.457803884512987,0.8431187240602641
E placebo 2024-12-19,2024-12-19,1092,273,-0.06469466278464636,0.0493942243120048,0.1902764664005725,-6.2646371366502525,0.9610785771324561
F placebo 2025-09-19 (post),2025-09-19,1280,320,-0.15370133221931603,0.05616494422118295,0.006207656236608162,-14.24719012173984,0.8188226751332768
