firm_group,tech,1.pre-IDA,2.3-sess,3.ISP15-win,4.DA60/ID15,5.DA15/ID15
GE,CCGT,1.02,1.9,1.48,2.43,0.65
GE,Hydro,0.69,0.91,-1.82,3.38,2.77
GE,Nuclear,1.98,2.46,3.98,2.4,-2.04
GE,PumpHydro,1.13,0.82,-0.71,0.42,1.9
GN,CCGT,1.22,2.39,2.05,2.39,3.61
GN,Hydro,0.96,3.17,2.51,3.03,4.89
GN,Nuclear,1.96,2.35,2.26,0.26,-0.96
GN,PumpHydro,-0.28,-0.32,-0.93,-0.81,0.26
HC,CCGT,1.49,1.23,1.49,1.95,2.67
HC,Hydro,0.16,1.49,0.9,3.86,2.61
HC,Nuclear,1.47,2.31,0.38,-0.61,-1.25
IB,CCGT,0.86,2.19,1.94,1.23,3.72
IB,Hydro,-0.89,2.52,-0.11,-0.97,-2.25
IB,Nuclear,2.12,3.05,4.09,2.43,-0.04
IB,PumpHydro,0.68,0.2,0.98,-0.04,-1.84
