regime,mean_p_flat,mean_p_crit,mean_premium_eur,median_premium_eur,mean_premium_pct,n_days
pre-IDA,80.73093442523258,81.71217487266553,0.981240447432957,0.8207894736842078,0.4121879646459286,2356
3-sess,79.90837801857585,76.86895294117647,-3.0394250773993816,-6.561578947368417,-7.4295178039736225,170
ISP15-win,96.6020760233918,111.98562962962963,15.383553606237816,14.312789473684205,16.968657465180883,108
DA60/ID15,53.14952783745076,42.282459183673474,-10.8670686537773,-10.22636842105263,-29.270696523693207,196
DA15/ID15,54.159533449542664,61.18860512820513,7.0290716786624685,7.543342105263157,7.228937924605712,195
