spec,n_obs,r2,controls,3-sess_beta,3-sess_se,3-sess_p,ISP15 win_beta,ISP15 win_se,ISP15 win_p,DA60/ID15_beta,DA60/ID15_se,DA60/ID15_p,DA15/ID15_beta,DA15/ID15_se,DA15/ID15_p,renew_beta,renew_se,renew_p
Spec 1: regime dummies only,96,0.3356084418704971,,214.53477096153838,16.88812897948736,5.669642208401393e-37,268.06535721153875,34.71087477216943,1.137961712952103e-14,125.49154262820534,43.974303317838476,0.0043206905494077704,96.31935096153856,31.74048654251757,0.0024086318274227944,,,
Spec 2: + cal-month FE,96,0.38214700702690585,cal_month,208.14518084011303,18.866779947542508,2.667598011589317e-28,268.4798339210909,56.490686129664844,2.0077871856036025e-06,120.11511827429413,43.88894983255309,0.006204068420068111,96.040749790539,25.865765192058095,0.0002047804685949992,,,
Spec 3: + cal-month FE + renew_mw,96,0.7041989374013737,"cal_month,renew_mw_avg",69.70856442070681,39.43565336206238,0.07711887476023856,156.42968128903055,68.47627930993237,0.02234591670525729,-26.610636518504823,52.666316793978375,0.6133701890070387,-43.42767830288477,53.96982477521342,0.42101249521295514,0.032542720561379544,0.0038110822382116387,1.354224014050605e-17
Spec 4: regime + renew_mw (no cal-FE),96,0.6194089148374528,renew_mw_avg,101.10301458066668,26.560821408723797,0.00014096342360808134,152.3196216379058,39.75227249474533,0.00012724994037925183,4.715974468388858,49.05293123445879,0.9234089675722144,-26.88036691153019,60.74163715168654,0.6581013167835443,0.02933792935503604,0.0035907517648300336,3.0733234933542697e-16
