zone,firm,omie_code,situation,n_hours,mean_a73_mw,mean_pdbc_mw,mean_redisp_mw,redisp_pct_of_a73
Andalucía,GE,COL4,Off,128,0.0,38.5,-38.5,-inf
Andalucía,GE,COL4,Sit1_competitive,552,202.0,37.0,165.1,81.7
Andalucía,GE,COL4,Sit3_joint_pivot,598,161.2,52.8,108.4,67.2
Andalucía,GE,SROQ2,Off,113,0.0,54.3,-54.3,-inf
Andalucía,GE,SROQ2,Sit1_competitive,4147,216.9,112.7,104.2,48.0
Andalucía,GE,SROQ2,Sit2_sole_pivot,1530,175.9,4.3,171.7,97.6
Andalucía,GE,SROQ2,Sit3_joint_pivot,6277,187.9,45.5,142.3,75.7
Andalucía,GN,CAMGI10,Off,301,0.0,5.6,-5.6,-inf
Andalucía,GN,CAMGI10,Sit1_competitive,4243,230.3,62.9,167.4,72.7
Andalucía,GN,CAMGI10,Sit3_joint_pivot,2904,182.9,21.2,161.7,88.4
Andalucía,GN,MALA1,Off,396,0.0,2.3,-2.3,-inf
Andalucía,GN,MALA1,Sit1_competitive,2753,209.2,15.1,194.1,92.8
Andalucía,GN,MALA1,Sit3_joint_pivot,3332,161.9,1.1,160.8,99.3
Andalucía,GN,PALOS1,Off,336,0.0,25.8,-25.8,-inf
Andalucía,GN,PALOS1,Sit1_competitive,3544,240.9,78.6,162.3,67.4
Andalucía,GN,PALOS1,Sit3_joint_pivot,2604,199.3,25.8,173.5,87.1
Andalucía,GN,PALOS2,Off,272,0.0,0.8,-0.8,-inf
Andalucía,GN,PALOS2,Sit1_competitive,4045,232.9,42.9,190.0,81.6
Andalucía,GN,PALOS2,Sit3_joint_pivot,3302,178.0,7.1,170.9,96.0
Andalucía,GN,PALOS3,Sit1_competitive,1736,238.3,59.6,178.7,75.0
Andalucía,GN,PALOS3,Sit3_joint_pivot,315,230.2,45.1,185.0,80.4
Andalucía,GN,SROQ1,Sit1_competitive,596,134.0,3.4,130.6,97.5
Andalucía,GN,SROQ1,Sit3_joint_pivot,315,110.5,0.0,110.5,100.0
Andalucía,IB,ARCOS1,Off,280,0.0,6.3,-6.3,-inf
Andalucía,IB,ARCOS1,Sit1_competitive,3442,216.3,38.6,177.7,82.2
Andalucía,IB,ARCOS1,Sit2_sole_pivot,134,198.0,8.7,189.3,95.6
Andalucía,IB,ARCOS1,Sit3_joint_pivot,3274,195.5,20.8,174.7,89.4
Andalucía,IB,ARCOS2,Off,215,0.0,3.8,-3.7,-inf
Andalucía,IB,ARCOS2,Sit1_competitive,3474,242.9,67.1,175.8,72.4
Andalucía,IB,ARCOS2,Sit3_joint_pivot,2845,196.5,30.0,166.5,84.7
Andalucía,IB,ARCOS3,Sit1_competitive,1084,125.8,51.1,74.7,59.4
Andalucía,IB,ARCOS3,Sit3_joint_pivot,240,128.2,69.5,58.7,45.8
Asturias,HC,SRI4R,Off,197,0.0,7.1,-7.0,-inf
Asturias,HC,SRI4R,Sit1_competitive,3800,265.5,43.7,221.9,83.6
Asturias,HC,SRI4R,Sit2_sole_pivot,3096,253.7,20.5,233.2,91.9
Asturias,HC,SRI5R,Off,229,0.0,4.0,-4.0,-inf
Asturias,HC,SRI5R,Sit1_competitive,3800,178.8,27.5,151.3,84.6
Asturias,HC,SRI5R,Sit2_sole_pivot,4686,147.7,3.1,144.6,97.9
CLM,GN,ACE4,Off,512,0.0,3.1,-3.1,-inf
CLM,GN,ACE4,Sit1_competitive,5018,181.0,21.9,159.1,87.9
CLM,GN,ACE4,Sit2_sole_pivot,6089,178.7,4.0,174.6,97.7
CLM,IB,ACE3,Off,258,0.0,13.9,-13.9,-inf
CLM,IB,ACE3,Sit1_competitive,4051,195.8,52.6,143.3,73.2
CLM,IB,ACE3,Sit2_sole_pivot,2545,176.2,28.9,147.3,83.6
CLM,IB,TAPOWER,Off,131,0.0,3.4,-3.4,-inf
CLM,IB,TAPOWER,Sit1_competitive,2095,155.4,5.6,149.8,96.4
CLM,IB,TAPOWER,Sit2_sole_pivot,318,149.1,0.0,149.1,100.0
Cataluña,GE,BES3,Sit1_competitive,6838,217.3,72.1,145.2,66.8
Cataluña,GE,BES3,Sit2_sole_pivot,1968,218.9,48.6,170.3,77.8
Cataluña,GE,BES5,Off,425,0.0,6.3,-6.3,-inf
Cataluña,GE,BES5,Sit1_competitive,8839,127.4,27.2,100.2,78.6
Cataluña,GE,BES5,Sit2_sole_pivot,2876,125.8,13.7,112.1,89.1
Cataluña,GN,BES4,Off,301,0.0,1.5,-1.5,-inf
Cataluña,GN,BES4,Sit1_competitive,8603,208.3,12.8,195.5,93.9
Cataluña,GN,BES4,Sit2_sole_pivot,720,195.8,4.9,190.9,97.5
Galicia,GE,PGR5,Off,410,0.1,8.6,-8.6,-8600.0
Galicia,GE,PGR5,Sit1_competitive,6452,123.6,66.1,57.4,46.4
Galicia,GE,PGR5,Sit2_sole_pivot,5348,111.8,27.1,84.8,75.8
Galicia,GN,SBO3,Off,565,0.0,7.3,-7.3,-inf
Galicia,GN,SBO3,Sit1_competitive,6452,190.5,26.2,164.3,86.2
Galicia,GN,SBO3,Sit2_sole_pivot,2943,181.6,10.2,171.4,94.4
Murcia,GN,CTGN1,Off,327,0.0,1.7,-1.7,-inf
Murcia,GN,CTGN1,Sit1_competitive,4726,261.0,38.0,223.0,85.4
Murcia,GN,CTGN1,Sit2_sole_pivot,2435,222.1,8.4,213.6,96.2
Murcia,GN,CTGN1,Sit3_joint_pivot,4203,224.7,15.0,209.7,93.3
Murcia,GN,CTGN2,Sit1_competitive,465,192.2,0.0,192.2,100.0
Murcia,GN,CTGN2,Sit2_sole_pivot,275,229.7,0.0,229.7,100.0
Murcia,GN,CTGN2,Sit3_joint_pivot,593,218.3,0.0,218.3,100.0
Murcia,GN,CTGN3,Off,264,0.0,1.9,-1.9,-inf
Murcia,GN,CTGN3,Sit1_competitive,3930,247.4,34.1,213.3,86.2
Murcia,GN,CTGN3,Sit2_sole_pivot,2184,210.3,0.8,209.5,99.6
Murcia,GN,CTGN3,Sit3_joint_pivot,2938,218.5,11.1,207.4,94.9
Murcia,IB,ESC6,Off,114,0.0,43.4,-43.4,-inf
Murcia,IB,ESC6,Sit1_competitive,3191,138.5,75.0,63.5,45.8
Murcia,IB,ESC6,Sit2_sole_pivot,1120,123.2,26.0,97.1,78.8
Murcia,IB,ESC6,Sit3_joint_pivot,1706,129.1,64.6,64.4,49.9
Other,GN,PBCN1,Off,346,0.0,5.7,-5.7,-inf
Other,GN,PBCN1,Sit_solo,4767,199.0,19.4,179.6,90.3
Other,GN,PBCN2,Off,440,0.0,5.8,-5.8,-inf
Other,GN,PBCN2,Sit_solo,6875,193.7,11.2,182.6,94.3
Valencia,GN,SAGU1,Off,365,0.0,1.0,-1.0,-inf
Valencia,GN,SAGU1,Sit1_competitive,2797,217.4,21.7,195.7,90.0
Valencia,GN,SAGU1,Sit2_sole_pivot,898,176.4,0.0,176.4,100.0
Valencia,GN,SAGU1,Sit3_joint_pivot,2539,174.6,0.1,174.5,99.9
Valencia,GN,SAGU2,Off,418,0.0,2.7,-2.6,-inf
Valencia,GN,SAGU2,Sit1_competitive,3889,251.3,51.3,199.9,79.5
Valencia,GN,SAGU2,Sit2_sole_pivot,987,183.6,0.4,183.2,99.8
Valencia,GN,SAGU2,Sit3_joint_pivot,3694,202.8,7.6,195.2,96.3
Valencia,GN,SAGU3,Off,308,0.0,0.7,-0.6,-inf
Valencia,GN,SAGU3,Sit1_competitive,2825,247.1,62.2,184.9,74.8
Valencia,GN,SAGU3,Sit2_sole_pivot,945,184.4,0.0,184.4,100.0
Valencia,GN,SAGU3,Sit3_joint_pivot,2389,196.7,8.1,188.6,95.9
Valencia,IB,CTJON2,Off,265,0.0,6.8,-6.8,-inf
Valencia,IB,CTJON2,Sit1_competitive,2112,203.3,69.3,134.0,65.9
Valencia,IB,CTJON2,Sit3_joint_pivot,815,172.9,25.8,147.1,85.1
Valencia,IB,CTN3,Off,265,0.0,10.8,-10.8,-inf
Valencia,IB,CTN3,Sit1_competitive,3062,126.2,68.4,57.9,45.9
Valencia,IB,CTN3,Sit2_sole_pivot,485,90.6,13.7,76.9,84.9
Valencia,IB,CTN3,Sit3_joint_pivot,1837,101.8,25.5,76.3,75.0
Valencia,IB,CTN4,Off,184,0.0,9.6,-9.6,-inf
Valencia,IB,CTN4,Sit1_competitive,1820,114.0,68.5,45.5,39.9
Valencia,IB,CTN4,Sit2_sole_pivot,299,98.0,4.9,93.1,95.0
Valencia,IB,CTN4,Sit3_joint_pivot,665,93.4,13.3,80.0,85.7
Vasconia,IB,STC4,Off,173,0.0,5.2,-5.2,-inf
Vasconia,IB,STC4,Sit1_competitive,2018,197.3,48.1,149.2,75.6
Vasconia,IB,STC4,Sit2_sole_pivot,921,221.6,5.0,216.6,97.7
