mapping,regime,firm,share_up_pct,share_down_pct,share_part_pct,share_combined_pct
liberal,3-sess,EV,8.59614312079825,11.494583711724218,7.420799956483131,9.017424950667317
liberal,3-sess,Fringe,9.632920029720681,16.64171954735662,16.506894740835783,13.831645360555925
liberal,3-sess,GE,12.383790312997291,17.050067490149644,25.662349920393368,17.564078585756448
liberal,3-sess,GN,29.548410664901283,7.453142831819524,7.9279561025572685,12.041435647743397
liberal,3-sess,HC,5.7026765026567094,2.859394895729381,3.2936063605080887,3.772896185729011
liberal,3-sess,IB,34.13605936892579,44.501091523220616,39.18839291922237,39.046355212508296
liberal,DA15/ID15,EV,21.001787657462792,9.34292285486902,5.402768037828612,10.19651547424772
liberal,DA15/ID15,Fringe,19.157699503226823,38.68135750719945,25.670641623921636,26.694836335837103
liberal,DA15/ID15,GE,19.134156052529278,21.618873413414327,15.519679617182721,18.585533864154822
liberal,DA15/ID15,GN,10.167671804668366,1.9257527868336752,21.608900296117355,7.507319630534837
liberal,DA15/ID15,HC,4.412414950793697,3.2583012696093774,2.929235580235188,3.4791564778697706
liberal,DA15/ID15,IB,26.126270031319038,25.17279216807415,28.868774844714494,26.677536222732076
liberal,DA60/ID15,EV,24.50548580728983,9.104049959234246,5.362109879677104,10.615600169258965
liberal,DA60/ID15,Fringe,18.962653445382458,38.13090968983094,24.70056092131135,26.13932469063581
liberal,DA60/ID15,GE,15.75456264123354,23.40329727728376,18.81045166323374,19.070447086160538
liberal,DA60/ID15,GN,8.873278726190776,2.8932214223548947,17.863620178310825,7.7116105823416214
liberal,DA60/ID15,HC,4.483586256782983,2.8489037003110584,2.633726249864392,3.228181742507275
liberal,DA60/ID15,IB,27.420433123120414,23.61961795098509,30.629531107602592,27.07047289264083
liberal,ISP15 win,EV,15.151934930790572,3.7176483138818037,4.365509997404054,6.265039244106172
liberal,ISP15 win,Fringe,12.823435529777457,12.914493248493416,22.940432862524563,15.603707125541476
liberal,ISP15 win,GE,16.151306736136526,37.865827153632324,16.61058224521824,21.657749340948055
liberal,ISP15 win,GN,17.783582863249737,4.083368652960997,19.327300325988546,11.196175124575124
liberal,ISP15 win,HC,8.271237103269153,4.868531571209195,4.185049287116473,5.523610070268799
liberal,ISP15 win,IB,29.81850283677655,36.55013105982226,32.571125281748124,32.865167135783615
liberal,pre-IDA,EV,6.637429283861319,14.66887565033538,11.851494823351006,10.488739236312915
liberal,pre-IDA,Fringe,7.093769235233021,14.486113763123251,12.665267781823337,10.918117776427096
liberal,pre-IDA,GE,12.153551605970023,26.716873407074264,25.632909203915027,20.265729758411293
liberal,pre-IDA,GN,31.29281306501469,8.064807400882023,11.994307941856155,14.46564935261827
liberal,pre-IDA,HC,5.177635345397581,7.952019447578186,7.486053361031271,6.754926130696126
