year,n_unit_days,mean_bilat_share,median_bilat_share,n_units,regime_context
2018,929,0.8575890929633136,0.9498840375113442,7,pre-IDA
2019,1006,0.8646451609683417,0.9525096525096525,7,pre-IDA
2020,947,0.8161205161204349,0.9498840375113442,7,pre-IDA
2021,994,0.8499888668686922,0.9520430842879125,7,pre-IDA
2022,1001,0.9505543562876191,0.9673857478785399,7,pre-IDA
2023,969,0.9454658829316303,0.9858909022272556,7,pre-IDA
2024,983,0.5448593419482777,0.7130121981933176,7,pre-IDA→3-sess
2025,954,0.5218423790478043,0.6384691912708601,7,DA60/ID15 (incl. reforzada May-Sep)
