firm,regime,bilateral_mwh,auction_signed_mwh,auction_sell_mwh,n_days,bilateral_share_of_sells,bilateral_per_day_GWh,auction_sell_per_day_GWh
GE,pre-IDA,81277186.80002585,82340229.8000029,82340229.8000029,2356,0.49675143691280826,34.49795704585138,34.949163752123475
GE,3-sess,2096051.8000000033,6058981.499999982,6058981.499999982,170,0.2570255353831611,12.329716470588256,35.64106764705872
GE,ISP15-win,1851659.2999999612,3939390.2999999938,3939390.2999999938,108,0.31974502515053155,17.14499351851816,36.47583611111105
GE,DA60/ID15,1668881.3000001563,8808003.599999875,8808003.599999875,196,0.1592917471108374,8.514700510204879,44.93879387755038
GE,DA15/ID15,982487.849999931,5565493.024999984,5565493.024999984,124,0.15004439822832313,7.923289112902669,44.8830082661289
GN,pre-IDA,263087594.19998273,96852685.00001138,96852685.00001138,2356,0.7309201259295658,111.66706035652916,41.10894949066697
GN,3-sess,19559104.799999844,3525396.0000000168,3525396.0000000168,170,0.8472829873799983,115.05355764705791,20.737623529411863
GN,ISP15-win,14943260.00000015,2748504.7999999593,2748504.7999999593,108,0.8446449615925291,138.3635185185199,25.44911851851814
GN,DA60/ID15,16283215.599998299,9308236.499999808,9308236.499999808,196,0.6362755632768295,83.07763061223622,47.491002551019434
GN,DA15/ID15,12396585.175000476,4420374.425000092,4420374.425000092,124,0.7371478239740825,99.97246108871352,35.648180846774935
HC,pre-IDA,3585980.799999986,40193101.60000128,40193101.60000128,2356,0.08191082597930105,1.522063157894731,17.05989032258119
HC,3-sess,227960.90000000002,287012.79999999853,287012.79999999853,170,0.4426651302775281,1.3409464705882352,1.6883105882352853
HC,ISP15-win,322405.6,576094.7000000031,576094.7000000031,108,0.3588263687836263,2.9852370370370367,5.334210185185214
HC,DA60/ID15,327312.0,93996.29999999893,93996.29999999893,196,0.7768942600940946,1.6699591836734693,0.479572959183668
HC,DA15/ID15,236219.09999999992,87278.8750000011,87278.8750000011,124,0.7302027161066439,1.9049927419354833,0.7038618951612993
IB,pre-IDA,391793547.60004383,161480255.7000226,161480255.7000226,2356,0.7081368126651674,166.2960728353327,68.54000666384661
IB,3-sess,26988521.500000555,16050640.800000193,16050640.800000193,170,0.6270689311255504,158.75600882353268,94.41553411764819
IB,ISP15-win,19974842.099998504,10303627.800000556,10303627.800000556,108,0.6597044753572281,184.9522416666528,95.40396111111625
IB,DA60/ID15,24694616.100002106,17842810.300000057,17842810.300000057,196,0.580538556042047,125.99293928572503,91.03474642857171
IB,DA15/ID15,15063043.025000464,14408134.824998489,14408134.824998489,124,0.5111109946696956,121.4761534274231,116.19463568547168
