tech,n_rows,n_clusters,beta_q1_bilat,se,p,rsq
CCGT,6559,2334,-0.2335186227175576,0.12498781637234259,0.06171593619989265,0.2938599883892331
Nuclear,5612,2954,-0.05290724048845327,0.002739043234890579,3.94356840637567e-83,0.29541057630406165
Hydro,11815,2954,-0.028090826231193876,0.006999300943889557,5.985645969987283e-05,0.1602999753480474
