plant,sanction_history,pre_blackout_GWh,post_blackout_GWh,DA15_GWh,pre_share_%,post_share_%,post_minus_pre_pp,DA15_share_%
CTGN1,no,4.7,571.4,515.3,0.29,4.58,4.29,5.09
ARCOS2,no,0.5,327.5,291.6,0.03,2.62,2.59,2.88
PALOS1,no,24.1,333.7,229.0,1.5,2.67,1.17,2.26
STC4,no,1.2,89.9,65.3,0.07,0.72,0.65,0.65
CTN3,no,22.1,119.2,56.4,1.38,0.95,-0.43,0.56
BES3,yes,42.0,223.4,387.7,2.62,1.79,-0.83,3.83
PALOS2,no,74.4,453.0,442.2,4.64,3.63,-1.01,4.37
SBO3,yes,70.4,408.8,309.1,4.39,3.27,-1.12,3.05
ARCOS1,no,61.8,237.0,259.4,3.85,1.9,-1.96,2.56
BES5,yes,74.9,283.0,107.2,4.67,2.27,-2.41,1.06
