month,firm,bilateral_abs_mwh,bilateral_sell_mwh,bilateral_buy_mwh,bilateral_abs_GWh,bilateral_sell_GWh,bilateral_buy_GWh,window
2018-01-01,GE,1194911.3000000012,1194911.3000000012,0.0,1194.9113000000011,1194.9113000000011,0.0,
2018-01-01,GN,3790008.0,3790008.0,0.0,3790.008,3790.008,0.0,
2018-01-01,HC,0.0,0.0,0.0,0.0,0.0,0.0,
2018-01-01,IB,5231298.099999998,5231298.099999998,0.0,5231.298099999998,5231.298099999998,0.0,
2018-02-01,GE,1275811.599999999,1275811.599999999,0.0,1275.8115999999989,1275.8115999999989,0.0,
2018-02-01,GN,3424464.0,3424464.0,0.0,3424.464,3424.464,0.0,
2018-02-01,HC,0.0,0.0,0.0,0.0,0.0,0.0,
2018-02-01,IB,4738379.9999999935,4738379.9999999935,0.0,4738.379999999994,4738.379999999994,0.0,
2018-03-01,GE,1553733.6999999997,1553733.6999999997,0.0,1553.7336999999998,1553.7336999999998,0.0,
2018-03-01,GN,3663159.0,3663159.0,0.0,3663.159,3663.159,0.0,
2018-03-01,HC,0.0,0.0,0.0,0.0,0.0,0.0,
2018-03-01,IB,4832680.999999997,4832680.999999997,0.0,4832.680999999997,4832.680999999997,0.0,
2018-04-01,GE,1695309.6999999995,1695309.6999999995,0.0,1695.3096999999996,1695.3096999999996,0.0,
2018-04-01,GN,2255616.0,2255616.0,0.0,2255.616,2255.616,0.0,
2018-04-01,HC,0.0,0.0,0.0,0.0,0.0,0.0,
2018-04-01,IB,4800308.399999996,4800308.399999996,0.0,4800.308399999995,4800.308399999995,0.0,
2018-05-01,GE,1863251.0999999952,1863251.0999999952,0.0,1863.2510999999952,1863.2510999999952,0.0,
2018-05-01,GN,2774592.0,2774592.0,0.0,2774.592,2774.592,0.0,
2018-05-01,HC,0.0,0.0,0.0,0.0,0.0,0.0,
2018-05-01,IB,3400909.2,3400909.2,0.0,3400.9092,3400.9092,0.0,
2018-06-01,GE,1963978.6999999995,1963978.6999999995,0.0,1963.9786999999994,1963.9786999999994,0.0,
2018-06-01,GN,3639312.0,3639312.0,0.0,3639.312,3639.312,0.0,
2018-06-01,HC,0.0,0.0,0.0,0.0,0.0,0.0,
2018-06-01,IB,2775033.300000005,2775033.300000005,0.0,2775.033300000005,2775.033300000005,0.0,
2018-07-01,GE,1591233.8000000007,1591233.8000000007,0.0,1591.2338000000007,1591.2338000000007,0.0,
2018-07-01,GN,3737232.0,3737232.0,0.0,3737.232,3737.232,0.0,
2018-07-01,HC,0.0,0.0,0.0,0.0,0.0,0.0,
2018-07-01,IB,4173998.4999999953,4173998.4999999953,0.0,4173.998499999995,4173.998499999995,0.0,
2018-08-01,GE,1394555.999999997,1394555.999999997,0.0,1394.555999999997,1394.555999999997,0.0,
2018-08-01,GN,3712392.0,3712392.0,0.0,3712.392,3712.392,0.0,
2018-08-01,HC,0.0,0.0,0.0,0.0,0.0,0.0,
2018-08-01,IB,5252485.200000012,5252485.200000012,0.0,5252.485200000012,5252.485200000012,0.0,
2018-09-01,GE,1304877.299999995,1304877.299999995,0.0,1304.8772999999949,1304.8772999999949,0.0,
2018-09-01,GN,3595464.0,3595464.0,0.0,3595.464,3595.464,0.0,
2018-09-01,HC,0.0,0.0,0.0,0.0,0.0,0.0,
2018-09-01,IB,5180170.400000006,5180170.400000006,0.0,5180.170400000006,5180.170400000006,0.0,
2018-10-01,GE,1306430.0999999987,1306430.0999999987,0.0,1306.4300999999987,1306.4300999999987,0.0,
2018-10-01,GN,3504591.0,3504591.0,0.0,3504.591,3504.591,0.0,
2018-10-01,HC,0.0,0.0,0.0,0.0,0.0,0.0,
2018-10-01,IB,5289609.20000001,5289609.20000001,0.0,5289.609200000011,5289.609200000011,0.0,
2018-11-01,GE,864147.4000000029,864147.4000000029,0.0,864.1474000000029,864.1474000000029,0.0,
2018-11-01,GN,1829736.0,1829736.0,0.0,1829.736,1829.736,0.0,
2018-11-01,HC,0.0,0.0,0.0,0.0,0.0,0.0,
2018-11-01,IB,5210625.599999975,5210625.599999975,0.0,5210.625599999976,5210.625599999976,0.0,
2018-12-01,GE,684879.3999999979,684879.3999999979,0.0,684.8793999999979,684.8793999999979,0.0,
2018-12-01,GN,3338280.0,3338280.0,0.0,3338.28,3338.28,0.0,
2018-12-01,HC,0.0,0.0,0.0,0.0,0.0,0.0,
2018-12-01,IB,5054682.2000000095,5054682.2000000095,0.0,5054.682200000009,5054.682200000009,0.0,
2019-01-01,GE,1315585.8000000003,1315585.8000000003,0.0,1315.5858000000003,1315.5858000000003,0.0,
2019-01-01,GN,3793752.0,3793752.0,0.0,3793.752,3793.752,0.0,
2019-01-01,HC,0.0,0.0,0.0,0.0,0.0,0.0,
2019-01-01,IB,4952761.799999999,4952761.799999999,0.0,4952.761799999999,4952.761799999999,0.0,
