hour_of_day,CCGT,Hydro,Nuclear,Other,Total,_table,bucket
1.0,0.12778932599999998,0.944127876,4.542123939500001,0.63847370325,6.25251484475,by_hour_of_day,
2.0,0.07123501049999995,0.6318982217499999,4.203433534249999,0.327785012,5.234351778499999,by_hour_of_day,
3.0,0.05051494100000001,0.4731444385,4.0127528235,0.22326456475000006,4.759676767749999,by_hour_of_day,
4.0,0.04538775900000002,0.4580712612499999,3.94482077025,0.21112149775,4.65940128825,by_hour_of_day,
5.0,0.05352507725000002,0.5241965175000001,4.1692895752500005,0.27101473725,5.01802590725,by_hour_of_day,
6.0,0.05845118075,0.66339181175,4.28144377625,0.36612689975000007,5.3694136685,by_hour_of_day,
7.0,0.09723587600000001,1.25435403275,5.1877386875,0.76910848225,7.3084370785,by_hour_of_day,
8.0,0.23768674549999996,1.99749905175,5.8870362535,1.341838278,9.464060328750001,by_hour_of_day,
9.0,0.17543678449999997,1.61588261325,4.74746618975,1.1620407122499998,7.700826299749999,by_hour_of_day,
10.0,0.066044565,0.76515659875,2.557216517,0.39903243675,3.7874501174999997,by_hour_of_day,
11.0,0.040328218750000006,0.3303670535,1.21744741975,0.0944437095,1.6825864014999998,by_hour_of_day,
12.0,0.027245295,0.06716752975,1.11895946,0.017601238499999998,1.2309735232499999,by_hour_of_day,
13.0,0.04869118399999999,0.031977605,1.0079216775000002,0.002971732000000001,1.0915621985000001,by_hour_of_day,
14.0,0.0445269855,0.03121558425,1.05099266025,0.005684100000000001,1.13241933,by_hour_of_day,
15.0,0.05512847875,0.0421611565,1.0107660032499999,0.004841091500000001,1.1128967299999997,by_hour_of_day,
16.0,0.049459100000000006,0.0733997645,1.20125979125,0.008658563500000003,1.33277721925,by_hour_of_day,
17.0,0.05846921899999999,0.24103986825,1.657986625,0.0999035595,2.05739927175,by_hour_of_day,
18.0,0.08377197350000003,0.47897563875000004,2.2381294822499997,0.38307178175,3.1839488762499997,by_hour_of_day,
19.0,0.1537047245,1.0574502350000001,3.25884948675,0.8926224010000001,5.3626268472500005,by_hour_of_day,
20.0,0.26445496749999997,2.14842775925,4.5865696165,1.5547164885,8.554168831750001,by_hour_of_day,
21.0,0.3351539597499999,3.22023518675,6.31238608625,2.40277923925,12.270554472,by_hour_of_day,
22.0,0.5560540562499999,3.6244173194999996,7.138753923,2.4232468985,13.74247219725,by_hour_of_day,
23.0,0.4232391265,3.14224640925,7.421341374750001,2.15983848525,13.146665395750002,by_hour_of_day,
24.0,0.27811667450000005,2.4675455014999996,6.8084375152500005,1.6619906869999999,11.21609037825,by_hour_of_day,
25.0,0.0,0.01573457025,0.00044391600000000004,1.5362500000000007e-06,0.0161800225,by_hour_of_day,
,0.40690329449999996,3.69483012675,25.153864419,2.03778641475,31.293384255,by_bucket,1.night (h1-6)
,0.5764039709999998,5.632892296500001,18.37945764775,3.67201990925,28.260773824500003,by_bucket,2.morning (h7-10)
,0.265379262,0.5762886935,6.607347012,0.134200435,7.5832154025000005,by_bucket,3.midday (h11-16)
,1.4516089005,10.7705460075,25.19267521975,7.7563403685,45.17117049625,by_bucket,4.evening (h17-22)
,0.701355801,5.625526481,14.230222806,3.8218307085000003,24.378935796500002,by_bucket,5.late (h23-24)
