term,coef,se,p
critical,3.7799565856887387,1.3771344858877135,0.006054807339739768
R_3-sess,-49.80049943515062,11.840568742107223,2.6002079451199617e-05
R_ISP15-win,-32.85908255345062,18.636264012747894,0.07787018495880674
R_DA60/ID15-pre-blackout,-48.803750440196055,24.985820339724565,0.05078904586755005
R_DA60/ID15-reforzada,-26.564919494849573,22.208930658216552,0.23164317460619388
R_DA15/ID15,-11.2768177485093,24.50915927072493,0.6454399468795022
crit×R_3-sess,-13.410663831028252,5.719590097574498,0.019042921987450733
crit×R_ISP15-win,-1.836848922309825,7.453620647627219,0.8053438623866904
crit×R_DA60/ID15-pre-blackout,-32.33108320046666,11.455283934084243,0.004766970975471963
crit×R_DA60/ID15-reforzada,-30.93765113834514,4.139715676832405,7.816318605276973e-14
crit×R_DA15/ID15,79.42326365298803,6.712421712786503,2.658168109766227e-32
