firm,tech,regime,n,opposite_share,indep,lift,z,mean_abs_imb
IB,CCGT,pre-IDA,49375,0.5490025316455697,0.536384209197244,1.0235247836009385,5.622611462568531,285.5069942278481
IB,CCGT,3-sess,3586,0.5331846068042387,0.5000970496592531,1.066162272238019,3.962778981441603,217.30245398773005
IB,CCGT,ISP15-win,2172,0.5147329650092081,0.5084132047251304,1.0124303622040942,0.5891447346156071,281.58011049723757
IB,CCGT,DA60/ID15,4219,0.542782649917042,0.5288128440281414,1.0264172968691303,1.81780550818232,294.2013154776013
IB,CCGT,DA15/ID15,2173,0.4436263230556834,0.44189482730468843,1.0039183435605168,0.16253010297684845,325.12311320754714
IB,Hydro,pre-IDA,55537,0.5715649026774943,0.5403882634884571,1.0576930353516145,14.742529173055932,1269.0425633361544
IB,Hydro,3-sess,4048,0.5632411067193676,0.527271555562499,1.0682182658582744,4.583869355488738,1751.336882411067
IB,Hydro,ISP15-win,2592,0.4837962962962963,0.47800925925925924,1.0121065375302662,0.5898263985874358,2262.825038580247
IB,Hydro,DA60/ID15,4608,0.5377604166666666,0.5012032779646508,1.0729387462318116,4.963176102145132,524.7556966145834
IB,Hydro,DA15/ID15,2184,0.5425824175824175,0.5029510324839995,1.078797701045934,3.7042742100896455,480.21435439560435
IB,Nuclear,pre-IDA,55544,0.512368572663114,0.5151721249795846,0.9945580279278857,-1.3220785896024423,321.13943504248886
IB,Nuclear,3-sess,4044,0.5450049455984174,0.5533087569866973,0.9849924453870886,-1.0621737356758916,747.8585558852621
IB,Nuclear,ISP15-win,2583,0.45838172667440963,0.46811120508749476,0.979215454987311,-0.9909844112173883,1446.244638017809
IB,Nuclear,DA60/ID15,4531,0.5360847495034209,0.5347622920472183,1.002472981876003,0.17846822278842325,2092.773868903112
IB,Nuclear,DA15/ID15,2184,0.43772893772893773,0.4370446403413436,1.0015657379691458,0.06447202639803959,1737.6711881868134
GE,CCGT,pre-IDA,52800,0.5352272727272728,0.5355659471131773,0.9993676327112841,-0.15603815548391897,205.70113920454546
GE,CCGT,3-sess,4020,0.5196517412935323,0.47856686715675356,1.085849808995075,5.214640361730141,172.89037313432837
GE,CCGT,ISP15-win,2572,0.5559875583203733,0.5011534070707633,1.109415900352978,5.561830622881467,167.55968118195958
GE,CCGT,DA60/ID15,4583,0.5365481125900066,0.535498021342619,1.00196096195604,0.14253753627079804,224.39665066550293
GE,CCGT,DA15/ID15,2184,0.4358974358974359,0.43692891357726527,0.9976392551562121,-0.09718497913756606,344.2796588827839
GE,Hydro,pre-IDA,23097,0.48621033034593236,0.4664008038713843,1.0424731825290996,6.0348246142592386,121.47005758323591
GE,Hydro,3-sess,2459,0.508336722244815,0.4727294196601408,1.0753227979977917,3.5366758270029033,166.57645384302563
GE,Hydro,ISP15-win,1838,0.529923830250272,0.5255990982297312,1.0082281952825014,0.3713059397867937,146.96779107725789
GE,Hydro,DA60/ID15,3259,0.5200981896287205,0.5208640250460381,0.9985296826417414,-0.08751571713970234,69.76652347345812
GE,Hydro,DA15/ID15,1390,0.4956834532374101,0.47891827545158117,1.0350063437650625,1.2512149863852307,61.73645683453237
GE,Nuclear,pre-IDA,52467,0.5086435283130348,0.5017406258042159,1.0137579102703804,3.162332149964094,126.90548096899005
GE,Nuclear,3-sess,3530,0.5201133144475921,0.5089914853662255,1.0218507173521072,1.3217940694753454,139.95895184135978
GE,Nuclear,ISP15-win,2150,0.5125581395348837,0.49040129799891835,1.0451810417843026,2.0551196868286343,459.1013023255814
GE,Nuclear,DA60/ID15,4296,0.5432960893854749,0.5402817223765385,1.0055792503875147,0.39643522911986034,972.7415211824954
GE,Nuclear,DA15/ID15,2184,0.43727106227106227,0.43698677695930443,1.0006505581558691,0.02678473125526784,1084.885347985348
GN,CCGT,pre-IDA,55351,0.45957615941898067,0.46332892418199834,0.9919004306289682,-1.7705788689250124,317.42180773608425
GN,CCGT,3-sess,3886,0.4696345856922285,0.4500729620748194,1.0434632276669782,2.451107158279026,533.3879567678847
GN,CCGT,ISP15-win,2572,0.5505443234836703,0.5225768474467226,1.0535183986309287,2.839631181034614,581.6651632970451
GN,CCGT,DA60/ID15,4588,0.5368352223190933,0.5372802633609226,0.9991716780381148,-0.06045779623077787,1181.1904261115956
GN,CCGT,DA15/ID15,2183,0.43655519926706365,0.43655519926706365,1.0,0.0,1638.117624828218
GN,Hydro,pre-IDA,29080,0.5819119669876204,0.5805407153628278,1.002362024899383,0.47386333701855365,280.20038514442916
GN,Hydro,3-sess,2569,0.5655897236278707,0.5452514113768665,1.037300797075694,2.070202762175485,181.64028804982485
GN,Hydro,ISP15-win,2049,0.45436798438262566,0.453570061554387,1.0017592052383355,0.07255083849732938,309.1158613958028
GN,Hydro,DA60/ID15,2734,0.4740307242136064,0.48370515372006795,0.9799993251424806,-1.012244363771941,36.780001828822236
GN,Hydro,DA15/ID15,1086,0.5340699815837937,0.5278125413347171,1.0118554216867468,0.4130613378360264,43.76084254143647
HC,CCGT,pre-IDA,27912,0.4667526511894526,0.45079499332997675,1.0353989243349804,5.3580633205344395,196.6009064201777
HC,CCGT,3-sess,2227,0.46879209699146834,0.4353748107935249,1.076755212679935,3.1806765921094566,152.00951953300404
HC,CCGT,ISP15-win,2044,0.5513698630136986,0.5237820780404486,1.052670349234667,2.497348164071463,147.67729941291586
HC,CCGT,DA60/ID15,3484,0.5232491389207807,0.5250167734145662,0.9966331847222913,-0.20893241058390344,208.28861222732488
HC,CCGT,DA15/ID15,1400,0.39,0.3956867346938775,0.9856281896882972,-0.43513115146617753,284.05625
