year,IB_CCGT_TWh,IB_Hydro_TWh,SYS_CCGT_TWh,SYS_Hydro_TWh,SYS_Nuclear_TWh,IB_CCGT_share_pct,IB_Hydro_share_pct,IB_dispatchable_TWh,era
2018,0.9,5.5,25.4,10.5,41.1,3.543307086614173,52.38095238095239,6.4,1.pre-2022
2019,7.5,1.3,17.9,8.6,45.4,41.899441340782126,15.116279069767444,8.8,1.pre-2022
2020,4.9,2.6,23.6,10.0,43.1,20.76271186440678,26.0,7.5,1.pre-2022
2021,3.2,5.4,24.1,8.4,43.6,13.278008298755188,64.28571428571429,8.600000000000001,1.pre-2022
2022,4.7,2.0,14.9,6.0,28.5,31.543624161073826,33.33333333333333,6.7,2.2022-24
2023,2.5,2.0,16.7,6.0,20.0,14.970059880239523,33.33333333333333,4.5,2.2022-24
2024,1.3,4.8,22.8,7.7,17.9,5.701754385964912,62.33766233766234,6.1,2.2022-24
2025,0.9,4.4,21.6,7.2,20.0,4.166666666666666,61.111111111111114,5.300000000000001,3.2025+
2026,0.1,0.1,9.1,3.0,4.4,1.098901098901099,3.3333333333333335,0.2,3.2025+
