firm,regime,n_hours,indep_opposite_share,actual_opposite_share,lift,mean_unit_rent_eur,baseline_rent_eur,actual_rent_eur,strategic_rent_eur,strategic_rent_share,yrs,actual_rent_per_yr,strategic_rent_per_yr
IB,pre-IDA,55577,0.550531242066172,0.5755078539683682,1.0453682007372693,23179.810590905596,709229763.4720687,741406241.7501155,32176478.278046846,0.04339925464087426,6.5,114062498.73078701,4950227.427391822
IB,3-sess,4054,0.543583551020279,0.5661075481006413,1.0414361270463133,56941.727489732366,125481785.38761632,130681264.58893578,5199479.201319456,0.03978748765306694,0.46,284089705.62812126,11303215.655042296
IB,ISP15-win,2592,0.46633873456790126,0.46412037037037035,0.995243019648397,111685.85929559037,135000282.42354485,134358088.7325952,-642193.6909496486,-0.004779717373233613,0.33,407145723.4321067,-1946041.4877262078
IB,DA60/ID15,4607,0.536407376229178,0.537225960494899,1.0015260496070644,69660.3160738973,172146578.06508207,172409282.28289577,262704.21781370044,0.001523724328152154,0.54,319276448.6720292,486489.29224759334
IB,DA15/ID15,2185,0.43713545130361475,0.43615560640732265,0.9977584867725323,52853.027718307996,50482091.69182498,50368935.41554752,-113156.27627746016,-0.002246548896535381,0.33,152633137.62287128,-342897.8069013944
GE,pre-IDA,55475,0.5306069548479364,0.5319513294276701,1.0025336542754495,5246.620412586796,154436479.7282874,154827768.37543637,391288.6471489668,0.0025272510949078905,6.5,23819656.673144057,60198.25340753335
GE,3-sess,4054,0.4885886852114121,0.5273803650715343,1.0793953708595136,7644.576005920078,15141906.23927028,16344103.500657128,1202197.261386849,0.07355541167115796,0.46,35530659.78403723,2613472.3073627152
GE,ISP15-win,2590,0.4879757308328737,0.5115830115830116,1.0483779812365772,16113.993981253905,20365786.393164758,21351042.025161423,985255.6319966651,0.0461455525606468,0.33,64700127.348974004,2985623.1272626217
GE,DA60/ID15,4604,0.5371842639007669,0.5384448305821026,1.002346618778782,34522.68778103841,85381385.44674648,85581743.00919424,200357.56244775653,0.0023411250507743417,0.54,158484709.27628562,371032.52305140096
GE,DA15/ID15,2185,0.43661327231121283,0.43661327231121283,1.0,38644.706075366405,36867049.59589955,36867049.59589955,0.0,0.0,0.33,111718332.10878652,0.0
GN,pre-IDA,55441,0.49508841608120757,0.500405836835555,1.0107403457274087,5170.864123159188,141930896.47130254,143455283.36880538,1524386.8975028396,0.010626216488547401,6.5,22070043.59520083,234521.061154283
GN,3-sess,3928,0.4664078152156329,0.4809063136456212,1.0310854534529728,11340.503044806519,20776367.448400404,21422210.251639515,645842.8032391109,0.030148280483321382,0.46,46570022.28617286,1404006.093998067
GN,ISP15-win,2582,0.5073508367828037,0.5034856700232379,0.9923816687007446,15348.847389578956,20106680.963359952,19953501.606452648,-153179.35690730438,-0.0076768158255375385,0.33,60465156.383189835,-464179.86941607384
GN,DA60/ID15,4601,0.5367889888711435,0.535970441208433,0.9984751034770071,35630.980737093385,88000189.68093948,87865998.49767229,-134191.18326719105,-0.001527225383670408,0.54,162714812.03272644,-248502.19123553898
GN,DA15/ID15,2184,0.43635531135531136,0.43635531135531136,1.0,43375.1213430993,41336490.63997363,41336490.63997363,0.0,0.0,0.33,125262092.84840494,0.0
HC,pre-IDA,27900,0.4507231510386558,0.4664516129032258,1.0348960594287757,3367.2762021738354,42344090.593289405,43821732.49509029,1477641.9018008858,0.03371938574008771,6.5,6741804.99924466,227329.52335398243
HC,3-sess,2228,0.4353317818913195,0.46903052064631956,1.0774093235476498,3625.1382223967685,3516091.2010031273,3788269.442404623,272178.2414014959,0.07184764588147388,0.46,8235368.353053528,591691.8291336866
HC,ISP15-win,2044,0.5237820780404486,0.5513698630136986,1.052670349234667,4965.916199745481,5316562.360839838,5596587.557113158,280025.1962733194,0.05003498889558382,0.33,16959356.233676236,848561.2008282406
HC,DA60/ID15,3484,0.5250167734145662,0.5232491389207807,0.9966331847222913,6127.548919657216,11208257.814180387,11170521.680535106,-37736.133645281196,-0.0033781890160991574,0.54,20686151.260250196,-69881.72897274295
HC,DA15/ID15,1401,0.3954134932680389,0.3897216274089936,0.9856052816710862,7069.374249264981,3916251.6799365007,3859878.3400986795,-56373.3398378212,-0.014604952506451276,0.33,11696601.030602058,-170828.30253885212
