regime_cat,qida_signed_mean,qida_abs_mean,qda_signed_mean,qda_abs_mean,n
pre-IDA,-154.77517419446116,1162.6345170303825,4144.846689421002,4144.846689421002,56546
3-sess,-91.75589316344035,1006.0351384464598,4845.030409213428,4845.030409213428,4081
ISP15-win,-145.88881172839507,1248.1033950617284,6496.360030864199,6496.360030864199,2592
DA60/ID15,-58.9578620029768,1281.7090314692734,4905.9277482458,4905.9277482458,4703
DA15/ID15,-62.86719970249163,1527.1155820007425,6918.449228337671,6918.449228337671,2689
