month,tech_group,auction_GWh,bilat_GWh,total_GWh,bilat_share
2018-01-01,CCGT,1107.7035000000005,0.0,1107.7035000000005,0.0
2018-01-01,Hydro,1064.390199999996,825.0886,1889.478799999996,0.4366752355199761
2018-01-01,Nuclear,2422.2218,9391.128799999993,11813.350599999992,0.7949589509347161
2018-02-01,CCGT,579.4623,0.0,579.4623,0.0
2018-02-01,Hydro,1027.1402999999984,852.5182000000001,1879.6584999999986,0.45354951444637454
2018-02-01,Nuclear,2218.680000000005,8437.529399999998,10656.209400000003,0.7917946319635943
2018-03-01,CCGT,4.085,0.0,4.085,0.0
2018-03-01,Hydro,1753.9904000000029,2116.912800000002,3870.9032000000047,0.5468782582834929
2018-03-01,Nuclear,2492.398599999996,7932.660899999985,10425.059499999981,0.7609223621217701
2018-04-01,CCGT,5.92,0.0,5.92,0.0
2018-04-01,Hydro,1949.040499999997,2294.7739000000033,4243.8144,0.5407338030616992
2018-04-01,Nuclear,2041.2428,6456.4602,8497.703000000001,0.7597888747112013
2018-05-01,CCGT,297.16179999999997,0.0,297.16179999999997,0.0
2018-05-01,Hydro,1661.3148999999944,1585.404999999993,3246.7198999999873,0.4883097553318348
2018-05-01,Nuclear,1725.565600000008,6272.3513,7997.916900000008,0.784248120907582
2018-06-01,CCGT,443.9131000000001,0.0,443.9131000000001,0.0
2018-06-01,Hydro,1279.573599999999,1887.212,3166.7855999999992,0.5959393019849529
2018-06-01,Nuclear,1191.1660000000154,6251.2,7442.366000000015,0.8399479412864117
2018-07-01,CCGT,451.22400000000033,0.0,451.22400000000033,0.0
2018-07-01,Hydro,1547.6047999999987,1236.6204000000005,2784.225199999999,0.44415243422119766
2018-07-01,Nuclear,2387.635900000007,8022.616899999998,10410.252800000006,0.7706457330219679
2018-08-01,CCGT,457.17869999999976,0.0,457.17869999999976,0.0
2018-08-01,Hydro,1525.732299999995,758.3048000000038,2284.0370999999986,0.3320019626651442
2018-08-01,Nuclear,2363.4075000000107,9367.015399999998,11730.422900000009,0.7985232484670259
2018-09-01,CCGT,324.84630000000004,0.0,324.84630000000004,0.0
2018-09-01,Hydro,1570.5923999999948,660.4281000000034,2231.0204999999983,0.2960206327104587
2018-09-01,Nuclear,2252.339400000016,9134.027599999998,11386.367000000013,0.8021898117283579
2018-10-01,CCGT,617.7547000000002,4.715,622.4697000000002,0.007574665883335363
2018-10-01,Hydro,1168.2836000000036,583.526199999999,1751.8098000000027,0.3330990613250355
2018-10-01,Nuclear,2417.2565000000054,9235.189099999996,11652.445600000001,0.7925537193668594
2018-11-01,CCGT,983.9607000000005,0.0,983.9607000000005,0.0
2018-11-01,Hydro,1051.4709999999986,793.5896000000046,1845.0606000000032,0.4301157371199641
2018-11-01,Nuclear,2012.4890000000164,6875.575399999996,8888.064400000012,0.7735739853550101
2018-12-01,CCGT,567.4525000000002,0.0,567.4525000000002,0.0
2018-12-01,Hydro,1094.6714999999995,994.384699999996,2089.0561999999954,0.47599710338094214
2018-12-01,Nuclear,2638.8938999999923,7989.833899999978,10628.72779999997,0.751720624551134
2019-01-01,CCGT,930.9236000000005,0.0,930.9236000000005,0.0
2019-01-01,Hydro,1070.4735000000003,701.5472000000028,1772.0207000000032,0.3959023729237483
2019-01-01,Nuclear,2618.7750999999853,9088.536399999997,11707.311499999982,0.7763128537239324
2019-02-01,CCGT,829.7693,0.0,829.7693,0.0
2019-02-01,Hydro,845.337300000002,1108.0574000000001,1953.394700000002,0.5672470596956155
