regime,season,mean_premium,median_premium,n_days
pre-IDA,autumn (Sep-Nov),4.0397073934837096,3.644157894736839,546
3-sess,autumn (Sep-Nov),5.374178716020821,6.642421052631576,91
DA60/ID15,autumn (Sep-Nov),-10.007663157894735,-9.781263157894735,30
DA15/ID15,autumn (Sep-Nov),11.082502049180329,12.295184210526315,61
pre-IDA,spring (Mar-May),-2.8922096364098655,-1.2397368421052732,644
ISP15-win,spring (Mar-May),6.40078947368421,7.012999999999991,18
DA60/ID15,spring (Mar-May),-5.947612849691797,-5.641263157894738,74
DA15/ID15,spring (Mar-May),-3.945328714779372,-5.007921052631575,44
pre-IDA,summer (Jun-Aug),-3.920698835584537,-1.7467368421052782,565
3-sess,summer (Jun-Aug),-12.731044636908727,-11.357578947368417,79
DA60/ID15,summer (Jun-Aug),-15.104263157894737,-14.582157894736849,92
pre-IDA,winter (Dec-Feb),6.961564235046851,5.000421052631573,601
ISP15-win,winter (Dec-Feb),17.180106432748538,16.100315789473697,90
DA15/ID15,winter (Dec-Feb),9.647009064327486,10.405078947368423,90
