hour,sigma2_within,sigma_within,sigma2_across,sigma_across,rank_within,rank_across
17,3201118.554447215,1789.1670001559985,46662115.72277502,6830.967407532773,1,1
7,2395518.6804864565,1547.7463230408453,39134390.05704967,6255.748560887791,2,4
18,2292624.140205043,1514.1413871250738,32289963.381347332,5682.425835974222,3,5
16,2277379.842338598,1509.0990167442949,41715863.514070004,6458.78189088856,4,2
8,1827154.3535102268,1351.7227354417869,41282447.258886844,6425.141808465152,5,3
12,1641213.736215018,1281.0986442171493,19494852.866199695,4415.297596561266,6,17
6,1492716.4397457158,1221.7677519666804,25878820.459998537,5087.123004213535,7,8
9,1415900.058872305,1189.9159881572755,30614434.47801155,5533.031219685241,8,6
11,1315741.5284012193,1147.0577702980872,21102101.488309503,4593.702372630328,9,15
13,1263223.7229149349,1123.9322590418583,20382842.213352516,4514.736117798306,10,16
14,1154857.5597118314,1074.6429917474136,21982111.699599177,4688.508472808722,11,13
10,1140131.3588251593,1067.7693378371375,23698838.733123932,4868.145307314063,12,11
15,1064798.1731781657,1031.8905819795846,27872803.860420436,5279.470035943043,13,7
5,717744.1147042565,847.1978014042863,22620822.444707442,4756.135242474445,14,12
21,715808.2266555832,846.0545057238235,21466632.539130695,4633.209744780685,15,14
22,575076.6378498198,758.3380762231446,18818368.96143189,4338.014403091798,16,18
4,515040.8302929796,717.6634519696398,18648062.22748443,4318.340216736568,17,19
19,477603.672485453,691.0887587607348,24641356.56293224,4964.006100211022,18,9
20,439263.5865890829,662.7696331223111,24043047.529483434,4903.371037305196,19,10
23,361780.8403990025,601.4822028946513,17124965.90748125,4138.232220100903,20,20
0,248675.23300165834,498.6734733286485,15846093.140266515,3980.7151543744644,21,21
2,220906.91542288556,470.00735677528024,15305444.505167497,3912.2173386926625,22,24
1,215826.0447761194,464.57081782664676,15541987.186507469,3942.3327087534694,23,23
3,144299.32642343838,379.8675116714226,15750509.61113655,3968.691171045758,24,22
