unit,regime,months,active_days,tranches_per_period,periods_per_day,tranches_per_day
TAPOWER,pre-MTU15-IDA,78,2213,5.800523599653445,23.9918662449164,139.16538635336647
TAPOWER,post-MTU15-IDA,8,200,7.12966787127861,58.11,414.305
SRI4R,pre-MTU15-IDA,86,2462,5.943759734543239,23.99187652315191,142.60194963444354
SRI4R,post-MTU15-IDA,10,276,5.242551345096905,50.10144927536232,262.65942028985506
ARCOS1,pre-MTU15-IDA,83,2256,5.485121964751355,23.968528368794328,131.47030141843973
ARCOS1,post-MTU15-IDA,10,270,6.7414841849148415,48.71111111111111,328.38518518518515
CTN4,pre-MTU15-IDA,79,2220,6.551694342174469,23.98018018018018,157.11081081081082
CTN4,post-MTU15-IDA,10,258,11.275193798449612,52.0,586.3100775193798
