regime,n,n_pre,n_post,cal_months,beta,se,t,p,vre_beta,vre_se,vre_p,r2,n_clusters,pre_mean_gwh,post_mean_gwh
3-sess,1280,1110,170,"6,7,8,9,10,11",5.479781256879415,0.7361995435044009,7.443336939323513,9.817326265373606e-14,0.012796938163470162,0.003141924547370595,4.641907157246879e-05,0.20925246121375363,42,10.668707454954955,17.128683823529414
ISP15 win,904,796,108,"1,2,3,12",7.667276744107749,1.2925122194626943,5.932072926393753,2.991336960359091e-09,0.004596678842793592,0.004675406344394418,0.3255280306037396,0.1730840508487842,31,10.718386557788945,18.60650138888889
DA60/ID15,1347,1165,182,"4,5,6,7,8,9",1.5861271330082864,1.274280276125263,1.244723914138626,0.21323325237830082,0.02703314722003038,0.004015658540222548,1.6742288636656963e-11,0.1815192732013048,45,10.58482542918455,14.617130494505492
DA15/ID15,858,767,91,"1,10,11,12",2.99130761160165,0.654012264166648,4.573779079530286,4.790049105412035e-06,0.0034931469013176927,0.0038006151680352643,0.35804306280396436,0.06284413056061788,28,10.728777183833115,13.65540989010989
