regime,segment,beta,p,actual_share,pigou_share,regime_total_meur,actual_meur,pigou_meur,redist_meur
DA15/ID15,conv_rz,210.23755993425365,1.962544434760741e-64,0.1413668272852423,0.3948153170225959,43.9,6.206003717822137,17.33239241729196,11.126388699469823
DA15/ID15,conv_nrz,-15.926040533479654,0.0317811636082459,0.09088732023333775,0.0,43.9,3.9899533582435267,0.0,-3.9899533582435267
DA15/ID15,wind,93.99847611440995,2.52682182135422e-58,0.30480306682396063,0.380606604168675,43.9,13.380854633571872,16.708629923004832,3.32777528943296
DA15/ID15,hydro,19.010338655166855,0.623562579016316,0.016291597661251694,0.004114240775965307,43.9,0.7152011373289493,0.18061517006487696,-0.5345859672640724
DA15/ID15,thermal_re,81.15768163032631,0.0138760882503907,0.035626220440715645,0.03840922617502075,43.9,1.5639910773474168,1.686165029083411,0.1221739517359941
DA15/ID15,cor_ret,-9.003883462737853,0.8583075956361502,0.037085189925951355,0.0,43.9,1.6280398377492644,0.0,-1.6280398377492644
DA15/ID15,lib_ret,36.64914482705251,4.106075428109245e-08,0.3739397776295407,0.18205461185774305,43.9,16.415956237936836,7.9921974605549195,-8.423758777381916
DA60/ID15,conv_rz,220.07740681435388,2.3057599515335328e-22,0.1261986705926009,0.35694520167210864,545.4,68.82875494120452,194.67791299196804,125.84915805076352
DA60/ID15,conv_nrz,-2.1992398904549124,0.7179636551954889,0.09307568417451416,0.0,545.4,50.76347814878002,0.0,-50.76347814878002
DA60/ID15,wind,43.06393600177881,1.3988524945820491e-27,0.2567219274941456,0.14208492238469342,545.4,140.016139255307,77.49311666861179,-62.523022586695205
DA60/ID15,hydro,527.4424029102757,1.812314936949055e-31,0.019399447777056395,0.13150301707539927,545.4,10.580458817606557,71.72174551292277,61.14128669531621
DA60/ID15,thermal_re,134.525935907081,3.7217256789324047e-11,0.05252862965517047,0.09081830697370115,545.4,28.64911461392997,49.532304623456604,20.883190009526633
DA60/ID15,cor_ret,495.55678068676656,7.381546573958703e-15,0.03744667096940158,0.2384942681173621,545.4,20.42341434671162,130.07477383120928,109.65135948449766
DA60/ID15,lib_ret,7.535306700792734,0.1902488301068262,0.41462896933711096,0.04015428377673539,545.4,226.1386398764603,21.900146371831482,-204.23849350462882
ISP15 win,conv_rz,300.48757864718027,1.2851190299392637e-21,0.13455821570057974,0.36521172678887254,546.8,73.576432345077,199.6977722081555,126.1213398630785
ISP15 win,conv_nrz,-51.63692254741319,1.1317039553265906e-09,0.10296214654043198,0.0,546.8,56.2997017283082,0.0,-56.2997017283082
ISP15 win,wind,89.70082090544213,6.059072125925733e-112,0.3160651250535518,0.25608312797035493,546.8,172.82441037928209,140.02625437419007,-32.79815600509201
ISP15 win,hydro,184.09487887096753,0.0223623050643249,0.014053467060857817,0.02336862492257695,546.8,7.684435788877054,12.777964107665076,5.093528318788022
ISP15 win,thermal_re,-133.31067983559956,3.5854069160435394e-05,0.03643911143733585,0.0,546.8,19.92490613393524,0.0,-19.92490613393524
ISP15 win,cor_ret,784.0432909269468,1.4542960259891774e-36,0.05017551420010228,0.3553365203181956,546.8,27.435971164615925,194.29800930998934,166.86203814537342
ISP15 win,lib_ret,-21.643283849803066,0.0086711870871276,0.34574642000714056,0.0,546.8,189.05414245990445,0.0,-189.05414245990445
