firm,n_tranches,pct_tranches_near_margin,pct_mwh_near_margin,mean_abs_gap,median_abs_gap
GE,131783,5.887709340354977,7.1774936132163685,1307.6314379699963,100.53
IB,963653,4.718607216498055,4.388606160589815,95.61379494486086,75.0
GN,748105,7.722311707581155,2.190742108446666,286.3973940422802,34.66
HC,152294,6.8157642454725735,6.2678190253576584,155.79275795500808,68.0
