regime,is_big4,mean,abs_mean,count
3-sess,False,-82.73653447523456,93.29764073750816,36664
3-sess,True,39.67253390055836,49.34613799521404,60176
DA15/ID15,False,-97.50521453225421,136.38221108069507,16804
DA15/ID15,True,42.2109891740462,54.83646102894044,42121
DA60/ID15,False,-89.49065239024762,136.90048321659586,26127
DA60/ID15,True,32.40976853867363,47.9693194021187,68910
ISP15-win,False,-81.49247551202136,93.436731967943,22460
ISP15-win,True,33.00815402321857,45.08006655324259,39968
pre-IDA,False,-82.38633933899091,101.77870574487832,723984
pre-IDA,True,62.46369059332874,75.56798647947548,894344
